,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,count_sim,facet_blocks
58,sim_par_1,150,150,200,0.25,bootstrap_mse,ipr,V,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_laplacian,0.002859346884457558,100,"sim_par_1, pi_target = 0.25"
59,sim_par_1,150,150,200,0.25,bootstrap_mse,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_rbf,0.0029861185892192505,100,"sim_par_1, pi_target = 0.25"
60,sim_par_1,150,150,200,0.25,bootstrap_var,ipr,U,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_laplacian,0.002887649626391887,100,"sim_par_1, pi_target = 0.25"
61,sim_par_1,150,150,200,0.25,bootstrap_var,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_rbf,0.0026080254872902827,100,"sim_par_1, pi_target = 0.25"
62,sim_par_1,150,150,200,0.25,bootstrap_var,ipr,V,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_laplacian,0.0026900517303826226,100,"sim_par_1, pi_target = 0.25"
63,sim_par_1,150,150,200,0.25,bootstrap_var,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_rbf,0.002917029896480317,100,"sim_par_1, pi_target = 0.25"
64,sim_par_1,150,150,200,0.25,distance,ipr,U,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_U_distance_laplacian,0.0026623298304181836,100,"sim_par_1, pi_target = 0.25"
65,sim_par_1,150,150,200,0.25,distance,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_distance_rbf,0.0028224668138431773,100,"sim_par_1, pi_target = 0.25"
66,sim_par_1,150,150,200,0.25,distance,ipr,V,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_V_distance_laplacian,0.002574282889727926,100,"sim_par_1, pi_target = 0.25"
67,sim_par_1,150,150,200,0.25,distance,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_distance_rbf,0.002590700245303694,100,"sim_par_1, pi_target = 0.25"
68,sim_par_1,150,150,200,0.25,grid,ipr,U,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_U_grid_laplacian,0.002652882790406636,100,"sim_par_1, pi_target = 0.25"
69,sim_par_1,150,150,200,0.25,grid,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_grid_rbf,0.0025986235115765368,100,"sim_par_1, pi_target = 0.25"
70,sim_par_1,150,150,200,0.25,grid,ipr,V,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_V_grid_laplacian,0.002710046795508516,100,"sim_par_1, pi_target = 0.25"
71,sim_par_1,150,150,200,0.25,grid,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_grid_rbf,0.002572160956951385,100,"sim_par_1, pi_target = 0.25"
72,sim_par_1,150,150,200,0.25,numerical,ipr,U,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_laplacian,0.0026622095032853487,100,"sim_par_1, pi_target = 0.25"
73,sim_par_1,150,150,200,0.25,numerical,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_rbf,0.002597158711485219,100,"sim_par_1, pi_target = 0.25"
74,sim_par_1,150,150,200,0.25,numerical,ipr,V,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_laplacian,0.0027540083000647114,100,"sim_par_1, pi_target = 0.25"
75,sim_par_1,150,150,200,0.25,numerical,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_numerical_rbf,0.002530392468555796,100,"sim_par_1, pi_target = 0.25"
76,sim_par_1,150,150,200,0.25,one_over_p,ipr,U,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_U_one_over_p_laplacian,0.0027232396148671118,100,"sim_par_1, pi_target = 0.25"
77,sim_par_1,150,150,200,0.25,one_over_p,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_one_over_p_rbf,0.0029409505324595867,100,"sim_par_1, pi_target = 0.25"
78,sim_par_1,150,150,200,0.25,one_over_p,ipr,V,laplacian,200,"n_target, n_source=300",5,Gaussian,ipr_V_one_over_p_laplacian,0.0024732011189903956,100,"sim_par_1, pi_target = 0.25"
79,sim_par_1,150,150,200,0.25,one_over_p,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_one_over_p_rbf,0.0026695949180670507,100,"sim_par_1, pi_target = 0.25"
80,sim_par_1,150,150,200,0.25,one_over_p,nrm,U,laplacian,200,"n_target, n_source=300",5,Gaussian,nrm_U_one_over_p_laplacian,0.0033152776364401815,100,"sim_par_1, pi_target = 0.25"
81,sim_par_1,150,150,200,0.25,one_over_p,nrm,U,rbf,200,"n_target, n_source=300",5,Gaussian,nrm_U_one_over_p_rbf,0.004205480925573658,100,"sim_par_1, pi_target = 0.25"
82,sim_par_1,150,150,200,0.25,one_over_p,nrm,V,laplacian,200,"n_target, n_source=300",5,Gaussian,nrm_V_one_over_p_laplacian,0.007257906563166232,100,"sim_par_1, pi_target = 0.25"
83,sim_par_1,150,150,200,0.25,one_over_p,nrm,V,rbf,200,"n_target, n_source=300",5,Gaussian,nrm_V_one_over_p_rbf,0.006536196855045201,100,"sim_par_1, pi_target = 0.25"
112,sim_par_1,150,150,300,0.25,bootstrap_mse,ipr,U,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_laplacian,0.0018024898820316385,100,"sim_par_1, pi_target = 0.25"
113,sim_par_1,150,150,300,0.25,bootstrap_mse,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_rbf,0.001615825604492574,100,"sim_par_1, pi_target = 0.25"
114,sim_par_1,150,150,300,0.25,bootstrap_mse,ipr,V,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_laplacian,0.001971732876972014,100,"sim_par_1, pi_target = 0.25"
115,sim_par_1,150,150,300,0.25,bootstrap_mse,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_rbf,0.0017478029007601795,100,"sim_par_1, pi_target = 0.25"
116,sim_par_1,150,150,300,0.25,bootstrap_var,ipr,U,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_laplacian,0.0018924991692176533,100,"sim_par_1, pi_target = 0.25"
117,sim_par_1,150,150,300,0.25,bootstrap_var,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_rbf,0.0017824791445910876,100,"sim_par_1, pi_target = 0.25"
118,sim_par_1,150,150,300,0.25,bootstrap_var,ipr,V,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_laplacian,0.0020665232886052146,100,"sim_par_1, pi_target = 0.25"
119,sim_par_1,150,150,300,0.25,bootstrap_var,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_rbf,0.0021748812277347673,100,"sim_par_1, pi_target = 0.25"
120,sim_par_1,150,150,300,0.25,distance,ipr,U,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_U_distance_laplacian,0.0018230464760856996,100,"sim_par_1, pi_target = 0.25"
121,sim_par_1,150,150,300,0.25,distance,ipr,U,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_U_distance_rbf,0.001888170656549809,100,"sim_par_1, pi_target = 0.25"
122,sim_par_1,150,150,300,0.25,distance,ipr,V,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_V_distance_laplacian,0.0017432158571551058,100,"sim_par_1, pi_target = 0.25"
123,sim_par_1,150,150,300,0.25,distance,ipr,V,rbf,300,"n_target, n_source=300",5,Gaussian,ipr_V_distance_rbf,0.0017351827966983829,100,"sim_par_1, pi_target = 0.25"
124,sim_par_1,150,150,300,0.25,grid,ipr,U,laplacian,300,"n_target, n_source=300",5,Gaussian,ipr_U_grid_laplacian,0.0017974728932659495,100,"sim_par_1, pi_target = 0.25"
