,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,facet_blocks
174,sim_par_4,150,150,300,0.25,bootstrap_var,ipr,U,rbf,300,n_target=n_source,5,Gaussian,ipr_U_bootstrap_var_rbf,0.0017824791445910876,"p = 5, sim_par_4, pi_target = 0.25"
177,sim_par_4,150,150,300,0.25,bootstrap_var,ipr,V,rbf,300,n_target=n_source,5,Gaussian,ipr_V_bootstrap_var_rbf,0.0021748812277347673,"p = 5, sim_par_4, pi_target = 0.25"
180,sim_par_4,150,150,300,0.25,distance,ipr,U,rbf,300,n_target=n_source,5,Gaussian,ipr_U_distance_rbf,0.001888170656549809,"p = 5, sim_par_4, pi_target = 0.25"
183,sim_par_4,150,150,300,0.25,distance,ipr,V,rbf,300,n_target=n_source,5,Gaussian,ipr_V_distance_rbf,0.0017351827966983829,"p = 5, sim_par_4, pi_target = 0.25"
186,sim_par_4,150,150,300,0.25,grid,ipr,U,rbf,300,n_target=n_source,5,Gaussian,ipr_U_grid_rbf,0.001677036030063639,"p = 5, sim_par_4, pi_target = 0.25"
189,sim_par_4,150,150,300,0.25,grid,ipr,V,rbf,300,n_target=n_source,5,Gaussian,ipr_V_grid_rbf,0.0016249859984720928,"p = 5, sim_par_4, pi_target = 0.25"
192,sim_par_4,150,150,300,0.25,numerical,ipr,U,rbf,300,n_target=n_source,5,Gaussian,ipr_U_numerical_rbf,0.001669074014387329,"p = 5, sim_par_4, pi_target = 0.25"
195,sim_par_4,150,150,300,0.25,numerical,ipr,V,rbf,300,n_target=n_source,5,Gaussian,ipr_V_numerical_rbf,0.0016109909390382205,"p = 5, sim_par_4, pi_target = 0.25"
198,sim_par_4,150,150,300,0.25,one_over_p,ipr,U,rbf,300,n_target=n_source,5,Gaussian,ipr_U_one_over_p_rbf,0.0019081348809972917,"p = 5, sim_par_4, pi_target = 0.25"
201,sim_par_4,150,150,300,0.25,one_over_p,ipr,V,rbf,300,n_target=n_source,5,Gaussian,ipr_V_one_over_p_rbf,0.001824686469777077,"p = 5, sim_par_4, pi_target = 0.25"
204,sim_par_4,150,150,300,0.25,one_over_p,nrm,U,rbf,300,n_target=n_source,5,Gaussian,nrm_U_one_over_p_rbf,0.0024849678425686392,"p = 5, sim_par_4, pi_target = 0.25"
207,sim_par_4,150,150,300,0.25,one_over_p,nrm,V,rbf,300,n_target=n_source,5,Gaussian,nrm_V_one_over_p_rbf,0.005072581547496271,"p = 5, sim_par_4, pi_target = 0.25"
252,sim_par_4,200,200,400,0.25,bootstrap_mse,ipr,U,rbf,400,n_target=n_source,5,Gaussian,ipr_U_bootstrap_mse_rbf,0.001251435404727707,"p = 5, sim_par_4, pi_target = 0.25"
255,sim_par_4,200,200,400,0.25,bootstrap_mse,ipr,V,rbf,400,n_target=n_source,5,Gaussian,ipr_V_bootstrap_mse_rbf,0.0013785179584372114,"p = 5, sim_par_4, pi_target = 0.25"
258,sim_par_4,200,200,400,0.25,bootstrap_var,ipr,U,rbf,400,n_target=n_source,5,Gaussian,ipr_U_bootstrap_var_rbf,0.0013245586723207475,"p = 5, sim_par_4, pi_target = 0.25"
261,sim_par_4,200,200,400,0.25,bootstrap_var,ipr,V,rbf,400,n_target=n_source,5,Gaussian,ipr_V_bootstrap_var_rbf,0.0012790251264095714,"p = 5, sim_par_4, pi_target = 0.25"
264,sim_par_4,200,200,400,0.25,distance,ipr,U,rbf,400,n_target=n_source,5,Gaussian,ipr_U_distance_rbf,0.0014008390819215495,"p = 5, sim_par_4, pi_target = 0.25"
267,sim_par_4,200,200,400,0.25,distance,ipr,V,rbf,400,n_target=n_source,5,Gaussian,ipr_V_distance_rbf,0.0013199850670486226,"p = 5, sim_par_4, pi_target = 0.25"
270,sim_par_4,200,200,400,0.25,grid,ipr,U,rbf,400,n_target=n_source,5,Gaussian,ipr_U_grid_rbf,0.0012432742925698732,"p = 5, sim_par_4, pi_target = 0.25"
273,sim_par_4,200,200,400,0.25,grid,ipr,V,rbf,400,n_target=n_source,5,Gaussian,ipr_V_grid_rbf,0.0011923478849387398,"p = 5, sim_par_4, pi_target = 0.25"
276,sim_par_4,200,200,400,0.25,numerical,ipr,U,rbf,400,n_target=n_source,5,Gaussian,ipr_U_numerical_rbf,0.001249085482783947,"p = 5, sim_par_4, pi_target = 0.25"
279,sim_par_4,200,200,400,0.25,numerical,ipr,V,rbf,400,n_target=n_source,5,Gaussian,ipr_V_numerical_rbf,0.0011783736454890343,"p = 5, sim_par_4, pi_target = 0.25"
