,sim_scenario,n_plus,n_minus,n_target,pi_target,gamma_selection_name,estimator,type,kernel,x,x_name,p,distributions,method_name,MSE,facet_blocks
56,sim_par_1,150,150,200,0.25,bootstrap_mse,ipr,U,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_U_bootstrap_mse_rbf,0.012725778020737908,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
57,sim_par_1,150,150,200,0.25,bootstrap_mse,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_mse_rbf,0.0026493588860937085,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
58,sim_par_1,150,150,200,0.25,bootstrap_mse,ipr,V,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_V_bootstrap_mse_rbf,0.009191930956097412,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
59,sim_par_1,150,150,200,0.25,bootstrap_mse,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_mse_rbf,0.0029861185892192505,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
60,sim_par_1,150,150,200,0.25,bootstrap_var,ipr,U,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_U_bootstrap_var_rbf,0.017450000613865552,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
61,sim_par_1,150,150,200,0.25,bootstrap_var,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_bootstrap_var_rbf,0.0026080254872902827,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
62,sim_par_1,150,150,200,0.25,bootstrap_var,ipr,V,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_V_bootstrap_var_rbf,0.009252218821384302,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
63,sim_par_1,150,150,200,0.25,bootstrap_var,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_bootstrap_var_rbf,0.002917029896480317,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
64,sim_par_1,150,150,200,0.25,distance,ipr,U,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_U_distance_rbf,0.037694799226683444,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
65,sim_par_1,150,150,200,0.25,distance,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_distance_rbf,0.0028224668138431773,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
66,sim_par_1,150,150,200,0.25,distance,ipr,V,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_V_distance_rbf,0.10018049260940469,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
67,sim_par_1,150,150,200,0.25,distance,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_distance_rbf,0.002590700245303694,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
68,sim_par_1,150,150,200,0.25,grid,ipr,U,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_U_grid_rbf,0.013905693239805204,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
69,sim_par_1,150,150,200,0.25,grid,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_grid_rbf,0.0025986235115765368,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
70,sim_par_1,150,150,200,0.25,grid,ipr,V,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_V_grid_rbf,0.009252218821384302,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
71,sim_par_1,150,150,200,0.25,grid,ipr,V,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_V_grid_rbf,0.002572160956951385,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
72,sim_par_1,150,150,200,0.25,numerical,ipr,U,rbf,200,"n_target, n_source=300",5,Cauchy,ipr_U_numerical_rbf,0.014779899418215007,"Distribution: Cauchy, pi_target = 0.25, sim_par_1"
73,sim_par_1,150,150,200,0.25,numerical,ipr,U,rbf,200,"n_target, n_source=300",5,Gaussian,ipr_U_numerical_rbf,0.002597158711485219,"Distribution: Gaussian, pi_target = 0.25, sim_par_1"
