n_plus,n_minus,n_target,pi_target,gamma_rbf,var_n,var,seed
250,250,100.0,0.25,0.06910938811200969,0.005803262897565066,0.1160652579513013,
250,250,200.0,0.25,0.06910938811200969,0.002901631448782533,0.1160652579513013,
250,250,300.0,0.25,0.06910938811200969,0.0019344209658550217,0.1160652579513013,
250,250,400.0,0.25,0.06910938811200969,0.0014508157243912664,0.1160652579513013,
250,250,500.0,0.25,0.06910938811200969,0.0011606525795130132,0.1160652579513013,
