n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed
50.0,50.0,100.0,0.25,0.30882352941176466,0.008136695091225986,4.068347545612993e-05,0.0
100.0,100.0,200.0,0.25,0.24603174603174602,0.0050699814234186425,1.2674953558546607e-05,0.0
150.0,150.0,300.0,0.25,0.21844660194174753,0.002605683126191891,4.342805210319818e-06,0.0
200.0,200.0,400.0,0.25,0.23188405797101452,0.001996856630106283,2.496070787632854e-06,0.0
250.0,250.0,500.0,0.25,0.25581395348837216,0.0016138044657425634,1.6138044657425634e-06,0.0
50.0,50.0,100.0,0.25,0.33333333333333337,0.007492231460485429,3.7461157302427146e-05,1.0
100.0,100.0,200.0,0.25,0.24218750000000008,0.0050414488532326465,1.2603622133081616e-05,1.0
150.0,150.0,300.0,0.25,0.20555555555555555,0.003838037534178474,6.39672922363079e-06,1.0
200.0,200.0,400.0,0.25,0.22058823529411767,0.002055270980129633,2.569088725162041e-06,1.0
250.0,250.0,500.0,0.25,0.2349397590361446,0.0017523801811404668,1.7523801811404668e-06,1.0
50.0,50.0,100.0,0.25,0.2575757575757576,0.009069826406683768,4.534913203341884e-05,2.0
100.0,100.0,200.0,0.25,0.3670886075949367,0.0026561443576661086,6.640360894165271e-06,2.0
150.0,150.0,300.0,0.25,0.35897435897435903,0.001826097082141328,3.0434951369022136e-06,2.0
200.0,200.0,400.0,0.25,0.28145695364238416,0.0015104695911559334,1.8880869889449167e-06,2.0
250.0,250.0,500.0,0.25,0.22159090909090912,0.0015251543602614005,1.5251543602614006e-06,2.0
50.0,50.0,100.0,0.25,0.1774193548387097,0.011642704488405504,5.821352244202752e-05,3.0
100.0,100.0,200.0,0.25,0.14406779661016947,0.006634439984977594,1.6586099962443986e-05,3.0
150.0,150.0,300.0,0.25,0.18556701030927836,0.003266971824965002,5.444953041608337e-06,3.0
200.0,200.0,400.0,0.25,0.18032786885245897,0.002961799405555508,3.7022492569443853e-06,3.0
250.0,250.0,500.0,0.25,0.17177914110429449,0.0020175481213280367,2.0175481213280365e-06,3.0
50.0,50.0,100.0,0.25,0.37878787878787884,0.009265580231288078,4.632790115644039e-05,4.0
100.0,100.0,200.0,0.25,0.25396825396825395,0.005189188011297454,1.2972970028243635e-05,4.0
150.0,150.0,300.0,0.25,0.33490566037735847,0.002516204557004962,4.193674261674936e-06,4.0
200.0,200.0,400.0,0.25,0.29310344827586204,0.0017595316975400712,2.199414621925089e-06,4.0
250.0,250.0,500.0,0.25,0.28034682080924855,0.0015939006584672509,1.5939006584672509e-06,4.0
50.0,50.0,100.0,0.25,0.30303030303030304,0.009047842588681914,4.5239212943409574e-05,5.0
100.0,100.0,200.0,0.25,0.19718309859154928,0.003919802543490995,9.799506358727489e-06,5.0
150.0,150.0,300.0,0.25,0.21296296296296297,0.0023742955813287133,3.957159302214522e-06,5.0
200.0,200.0,400.0,0.25,0.2107142857142857,0.0018460462421175019,2.3075578026468775e-06,5.0
250.0,250.0,500.0,0.25,0.18713450292397668,0.0016363376449895788,1.6363376449895787e-06,5.0
50.0,50.0,100.0,0.25,0.26666666666666666,0.012464550264550265,6.232275132275132e-05,6.0
100.0,100.0,200.0,0.25,0.24615384615384614,0.004511598531443775,1.1278996328609436e-05,6.0
150.0,150.0,300.0,0.25,0.1650485436893204,0.00259341324046309,4.322355400771817e-06,6.0
200.0,200.0,400.0,0.25,0.16906474820143885,0.0018223633846354546,2.277954230794318e-06,6.0
250.0,250.0,500.0,0.25,0.2740112994350283,0.001459505552396999,1.459505552396999e-06,6.0
50.0,50.0,100.0,0.25,0.16176470588235298,0.0086449825706794,4.3224912853397004e-05,7.0
100.0,100.0,200.0,0.25,0.18181818181818182,0.0027656608712742664,6.914152178185666e-06,7.0
150.0,150.0,300.0,0.25,0.19736842105263153,0.0019257579486185955,3.2095965810309924e-06,7.0
200.0,200.0,400.0,0.25,0.22297297297297294,0.0016018364480642018,2.0022955600802524e-06,7.0
250.0,250.0,500.0,0.25,0.23655913978494622,0.001300339426998121,1.3003394269981211e-06,7.0
50.0,50.0,100.0,0.25,0.40625,0.009455636472118141,4.727818236059071e-05,8.0
100.0,100.0,200.0,0.25,0.15,0.003596467223252938,8.991168058132346e-06,8.0
150.0,150.0,300.0,0.25,0.22857142857142856,0.002565210058821502,4.275350098035837e-06,8.0
200.0,200.0,400.0,0.25,0.2653061224489796,0.0016621800712086014,2.0777250890107517e-06,8.0
250.0,250.0,500.0,0.25,0.25142857142857145,0.0015419632427586235,1.5419632427586235e-06,8.0
50.0,50.0,100.0,0.25,0.17741935483870971,0.010317209508887338,5.158604754443669e-05,9.0
100.0,100.0,200.0,0.25,0.2638888888888889,0.0035788192183225337,8.947048045806334e-06,9.0
150.0,150.0,300.0,0.25,0.23394495412844038,0.0022845830723949904,3.8076384539916505e-06,9.0
200.0,200.0,400.0,0.25,0.225,0.001970581062198749,2.4632263277484365e-06,9.0
250.0,250.0,500.0,0.25,0.24242424242424243,0.0017527930243455506,1.7527930243455506e-06,9.0
50.0,50.0,100.0,0.25,0.35135135135135137,0.006553487242601694,3.276743621300847e-05,10.0
100.0,100.0,200.0,0.25,0.2867647058823529,0.0043182184402543655,1.0795546100635914e-05,10.0
150.0,150.0,300.0,0.25,0.2740384615384615,0.002703790073918088,4.50631678986348e-06,10.0
200.0,200.0,400.0,0.25,0.2681159420289856,0.0020216504246769705,2.5270630308462133e-06,10.0
250.0,250.0,500.0,0.25,0.25698324022346375,0.0014732829186010375,1.4732829186010374e-06,10.0
50.0,50.0,100.0,0.25,0.2875,0.005177523118622449,2.5887615593112247e-05,11.0
100.0,100.0,200.0,0.25,0.3108108108108108,0.002965100945452554,7.412752363631385e-06,11.0
150.0,150.0,300.0,0.25,0.29166666666666663,0.0023432462095522755,3.905410349253792e-06,11.0
200.0,200.0,400.0,0.25,0.323943661971831,0.0017382949719681193,2.1728687149601493e-06,11.0
250.0,250.0,500.0,0.25,0.31147540983606564,0.0012744015898443822,1.2744015898443821e-06,11.0
50.0,50.0,100.0,0.25,0.16666666666666663,0.014266187956664143,7.133093978332071e-05,12.0
100.0,100.0,200.0,0.25,0.1818181818181818,0.0046782293715563325,1.1695573428890831e-05,12.0
150.0,150.0,300.0,0.25,0.2427184466019417,0.0026120520704317404,4.353420117386234e-06,12.0
200.0,200.0,400.0,0.25,0.172,0.0027572062176482413,3.4465077720603017e-06,12.0
250.0,250.0,500.0,0.25,0.23652694610778438,0.0016496839293409526,1.6496839293409527e-06,12.0
50.0,50.0,100.0,0.25,0.3571428571428572,0.004046889476323641,2.0234447381618205e-05,13.0
100.0,100.0,200.0,0.25,0.31578947368421056,0.002898017784989186,7.245044462472965e-06,13.0
150.0,150.0,300.0,0.25,0.26237623762376233,0.002965903404618408,4.94317234103068e-06,13.0
200.0,200.0,400.0,0.25,0.2781690140845071,0.0018594529509391813,2.3243161886739767e-06,13.0
250.0,250.0,500.0,0.25,0.23750000000000007,0.0020284121642821294,2.0284121642821293e-06,13.0
50.0,50.0,100.0,0.25,0.27027027027027023,0.0071653254279583,3.58266271397915e-05,14.0
100.0,100.0,200.0,0.25,0.2828947368421053,0.0030351379558295794,7.587844889573949e-06,14.0
150.0,150.0,300.0,0.25,0.3063063063063063,0.002180730668922755,3.6345511148712583e-06,14.0
200.0,200.0,400.0,0.25,0.24333333333333332,0.001616732922017495,2.0209161525218686e-06,14.0
250.0,250.0,500.0,0.25,0.2956989247311828,0.0012246168853825572,1.2246168853825572e-06,14.0
50.0,50.0,100.0,0.25,0.22857142857142856,0.007613827571845064,3.8069137859225315e-05,15.0
100.0,100.0,200.0,0.25,0.1544117647058824,0.004290061933933873,1.0725154834834683e-05,15.0
150.0,150.0,300.0,0.25,0.26785714285714285,0.002170057057287372,3.6167617621456196e-06,15.0
200.0,200.0,400.0,0.25,0.28145695364238404,0.0015967784900416402,1.9959731125520502e-06,15.0
250.0,250.0,500.0,0.25,0.2584269662921348,0.0015369090794098616,1.5369090794098617e-06,15.0
50.0,50.0,100.0,0.25,0.13333333333333333,0.012664751826656589,6.332375913328294e-05,16.0
100.0,100.0,200.0,0.25,0.25000000000000006,0.004618420778028217,1.1546051945070543e-05,16.0
150.0,150.0,300.0,0.25,0.2892156862745098,0.0027669854496126123,4.6116424160210205e-06,16.0
200.0,200.0,400.0,0.25,0.25000000000000006,0.0022415603326550113,2.801950415818764e-06,16.0
250.0,250.0,500.0,0.25,0.2514450867052024,0.0015777891573499193,1.5777891573499194e-06,16.0
50.0,50.0,100.0,0.25,0.14516129032258063,0.01246053303451836,6.23026651725918e-05,17.0
100.0,100.0,200.0,0.25,0.3835616438356164,0.003431021938252721,8.577554845631802e-06,17.0
150.0,150.0,300.0,0.25,0.28500000000000003,0.0027855768791946304,4.6426281319910505e-06,17.0
200.0,200.0,400.0,0.25,0.2703703703703704,0.0020589753518732547,2.5737191898415684e-06,17.0
250.0,250.0,500.0,0.25,0.28698224852071,0.0016054020018154284,1.6054020018154283e-06,17.0
50.0,50.0,100.0,0.25,0.1896551724137931,0.014457799932244116,7.228899966122058e-05,18.0
100.0,100.0,200.0,0.25,0.2608695652173913,0.003664137344370047,9.160343360925117e-06,18.0
150.0,150.0,300.0,0.25,0.32857142857142857,0.002567754828726907,4.279591381211512e-06,18.0
200.0,200.0,400.0,0.25,0.24637681159420294,0.0020786667627596274,2.5983334534495342e-06,18.0
250.0,250.0,500.0,0.25,0.2705882352941177,0.0016684963620961738,1.6684963620961737e-06,18.0
50.0,50.0,100.0,0.25,0.04838709677419359,0.014007004614040464,7.003502307020233e-05,19.0
100.0,100.0,200.0,0.25,0.18939393939393936,0.004525498145310565,1.1313745363276413e-05,19.0
150.0,150.0,300.0,0.25,0.24774774774774777,0.002113778287117232,3.5229638118620535e-06,19.0
200.0,200.0,400.0,0.25,0.22602739726027396,0.001703817747265035,2.129772184081294e-06,19.0
250.0,250.0,500.0,0.25,0.206043956043956,0.0013518701115002134,1.3518701115002134e-06,19.0
50.0,50.0,100.0,0.25,0.1607142857142857,0.015087098992554122,7.543549496277061e-05,20.0
100.0,100.0,200.0,0.25,0.17647058823529416,0.00427719321542432,1.06929830385608e-05,20.0
150.0,150.0,300.0,0.25,0.19339622641509432,0.0024593083894336024,4.098847315722671e-06,20.0
200.0,200.0,400.0,0.25,0.17883211678832123,0.0020636131225493996,2.5795164031867495e-06,20.0
250.0,250.0,500.0,0.25,0.24456521739130435,0.0012958182600170478,1.295818260017048e-06,20.0
50.0,50.0,100.0,0.25,0.15714285714285717,0.008177967513536027,4.088983756768014e-05,21.0
100.0,100.0,200.0,0.25,0.2462686567164179,0.004698470510159288,1.174617627539822e-05,21.0
150.0,150.0,300.0,0.25,0.25980392156862747,0.0028168309616259483,4.694718269376581e-06,21.0
200.0,200.0,400.0,0.25,0.268939393939394,0.0022110393266827066,2.7637991583533832e-06,21.0
250.0,250.0,500.0,0.25,0.2894736842105263,0.0015684579720754808,1.5684579720754807e-06,21.0
50.0,50.0,100.0,0.25,0.196969696969697,0.009681992316692329,4.840996158346164e-05,22.0
100.0,100.0,200.0,0.25,0.10526315789473688,0.007457159977705401,1.86428999442635e-05,22.0
150.0,150.0,300.0,0.25,0.18877551020408168,0.0031998902752336193,5.333150458722698e-06,22.0
200.0,200.0,400.0,0.25,0.2152777777777778,0.0018371489106878414,2.2964361383598016e-06,22.0
250.0,250.0,500.0,0.25,0.17272727272727273,0.0019913589252166107,1.9913589252166105e-06,22.0
50.0,50.0,100.0,0.25,0.22727272727272732,0.009597843303703564,4.798921651851782e-05,23.0
100.0,100.0,200.0,0.25,0.2986111111111111,0.0036661514018860876,9.165378504715219e-06,23.0
150.0,150.0,300.0,0.25,0.2801724137931034,0.001983080055838393,3.3051334263973214e-06,23.0
200.0,200.0,400.0,0.25,0.24475524475524474,0.0018062192537966276,2.2577740672457842e-06,23.0
250.0,250.0,500.0,0.25,0.26373626373626374,0.0013300422452502093,1.3300422452502093e-06,23.0
50.0,50.0,100.0,0.25,0.15999999999999992,0.021347422040816327,0.00010673711020408164,24.0
100.0,100.0,200.0,0.25,0.21774193548387094,0.005399113364897642,1.3497783412244105e-05,24.0
150.0,150.0,300.0,0.25,0.2680412371134021,0.0031656355767901564,5.2760592946502605e-06,24.0
200.0,200.0,400.0,0.25,0.23600000000000004,0.0027306736057889436,3.4133420072361795e-06,24.0
250.0,250.0,500.0,0.25,0.25153374233128845,0.0019111145050307154,1.9111145050307153e-06,24.0
50.0,50.0,100.0,0.25,0.2352941176470589,0.009018896384118477,4.5094481920592387e-05,25.0
100.0,100.0,200.0,0.25,0.21323529411764708,0.0037057638338612946,9.264409584653237e-06,25.0
150.0,150.0,300.0,0.25,0.20652173913043478,0.0036757688217479074,6.1262813695798455e-06,25.0
200.0,200.0,400.0,0.25,0.23255813953488375,0.002537870806536058,3.1723385081700724e-06,25.0
250.0,250.0,500.0,0.25,0.2921686746987952,0.0017660007233369556,1.7660007233369557e-06,25.0
50.0,50.0,100.0,0.25,0.2777777777777778,0.0158692702808909,7.93463514044545e-05,26.0
100.0,100.0,200.0,0.25,0.22388059701492544,0.004623178847650034,1.1557947119125084e-05,26.0
150.0,150.0,300.0,0.25,0.28640776699029125,0.0027124102947303375,4.5206838245505625e-06,26.0
200.0,200.0,400.0,0.25,0.25384615384615383,0.0024269901686226033,3.033737710778254e-06,26.0
250.0,250.0,500.0,0.25,0.24367088607594944,0.0020766156611157073,2.0766156611157074e-06,26.0
50.0,50.0,100.0,0.25,0.26666666666666666,0.012464550264550267,6.232275132275133e-05,27.0
100.0,100.0,200.0,0.25,0.2954545454545455,0.004677924300836842,1.1694810752092107e-05,27.0
150.0,150.0,300.0,0.25,0.2669902912621359,0.0027597684687264744,4.599614114544124e-06,27.0
200.0,200.0,400.0,0.25,0.2827586206896552,0.0017364629905257036,2.1705787381571295e-06,27.0
250.0,250.0,500.0,0.25,0.2740112994350283,0.001459505552396999,1.459505552396999e-06,27.0
50.0,50.0,100.0,0.25,0.3289473684210526,0.005866325618421953,2.9331628092109763e-05,28.0
100.0,100.0,200.0,0.25,0.25000000000000006,0.004501027840387345,1.1252569600968363e-05,28.0
150.0,150.0,300.0,0.25,0.19158878504672894,0.0024727333121345434,4.121222186890906e-06,28.0
200.0,200.0,400.0,0.25,0.20955882352941177,0.0021842390249736114,2.730298781217014e-06,28.0
250.0,250.0,500.0,0.25,0.24861878453038677,0.0014249932476492976,1.4249932476492976e-06,28.0
50.0,50.0,100.0,0.25,0.10869565217391301,0.027249038612232355,0.00013624519306116176,29.0
100.0,100.0,200.0,0.25,0.18852459016393439,0.005613584999344503,1.4033962498361256e-05,29.0
150.0,150.0,300.0,0.25,0.31443298969072164,0.0031943155927418865,5.323859321236477e-06,29.0
200.0,200.0,400.0,0.25,0.2442748091603054,0.0023667606041727044,2.9584507552158807e-06,29.0
250.0,250.0,500.0,0.25,0.30654761904761907,0.001707360280110659,1.707360280110659e-06,29.0
50.0,50.0,100.0,0.25,0.1551724137931034,0.015401217075371341,7.700608537685671e-05,30.0
100.0,100.0,200.0,0.25,0.2808219178082192,0.0035677145501242973,8.919286375310744e-06,30.0
150.0,150.0,300.0,0.25,0.22727272727272727,0.004129326783280134,6.88221130546689e-06,30.0
200.0,200.0,400.0,0.25,0.25590551181102367,0.002542335169936478,3.1779189624205972e-06,30.0
250.0,250.0,500.0,0.25,0.2147239263803681,0.0018840086110784356,1.8840086110784356e-06,30.0
50.0,50.0,100.0,0.25,0.0,0.012741829301960127,6.370914650980064e-05,31.0
100.0,100.0,200.0,0.25,0.226027397260274,0.0036911248399205967,9.227812099801492e-06,31.0
150.0,150.0,300.0,0.25,0.22566371681415928,0.002172010654531445,3.620017757552408e-06,31.0
200.0,200.0,400.0,0.25,0.2586206896551725,0.0018063200675452434,2.2579000844315543e-06,31.0
250.0,250.0,500.0,0.25,0.25690607734806636,0.0014558863219912238,1.4558863219912237e-06,31.0
50.0,50.0,100.0,0.25,0.3030303030303031,0.009738324621513061,4.8691623107565306e-05,32.0
