n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed
50.0,50.0,100.0,0.75,0.7510088781275225,0.006800510793410318,3.400255396705159e-05,0.0
100.0,100.0,200.0,0.75,0.7419792137370088,0.004317686772861617,1.0794216932154042e-05,0.0
150.0,150.0,300.0,0.75,0.7280998180400311,0.0023433383380243463,3.9055638967072435e-06,0.0
200.0,200.0,400.0,0.75,0.7032646533069901,0.001556973365428533,1.946216706785666e-06,0.0
250.0,250.0,500.0,0.75,0.7162771779322585,0.0012210574176755933,1.2210574176755933e-06,0.0
50.0,50.0,100.0,0.75,0.8070312499999999,0.006157654741847392,3.078827370923696e-05,1.0
100.0,100.0,200.0,0.75,0.7782893390628195,0.003696620021059275,9.241550052648186e-06,1.0
150.0,150.0,300.0,0.75,0.7974808757583748,0.0023418526534308053,3.903087755718009e-06,1.0
200.0,200.0,400.0,0.75,0.7802218640371665,0.001617392193100915,2.021740241376144e-06,1.0
250.0,250.0,500.0,0.75,0.7788027252545355,0.0013229360829343304,1.3229360829343304e-06,1.0
50.0,50.0,100.0,0.75,0.8002416431735806,0.006852893547668142,3.426446773834071e-05,2.0
100.0,100.0,200.0,0.75,0.773628318584071,0.0025239253397882984,6.309813349470746e-06,2.0
150.0,150.0,300.0,0.75,0.717674775367083,0.0016122929931652187,2.687154988608698e-06,2.0
200.0,200.0,400.0,0.75,0.7267511050663039,0.0013210022181005079,1.6512527726256348e-06,2.0
250.0,250.0,500.0,0.75,0.7261913191248316,0.0011279473330450872,1.1279473330450872e-06,2.0
50.0,50.0,100.0,0.75,0.6857402361489556,0.008225973859613005,4.112986929806503e-05,3.0
100.0,100.0,200.0,0.75,0.8083207642031173,0.0042529951670685785,1.0632487917671446e-05,3.0
150.0,150.0,300.0,0.75,0.7498484848484851,0.002691255484915715,4.485425808192858e-06,3.0
200.0,200.0,400.0,0.75,0.7418136020151133,0.001971674149626613,2.464592687033266e-06,3.0
250.0,250.0,500.0,0.75,0.7198637111302578,0.001353178144800169,1.353178144800169e-06,3.0
50.0,50.0,100.0,0.75,0.6568107667210439,0.007295446612199313,3.6477233060996564e-05,4.0
100.0,100.0,200.0,0.75,0.7214119636440502,0.003751319932062436,9.378299830156089e-06,4.0
150.0,150.0,300.0,0.75,0.6851642129105322,0.002080867652128623,3.468112753547705e-06,4.0
200.0,200.0,400.0,0.75,0.6622011727559766,0.0014524610592371963,1.8155763240464952e-06,4.0
250.0,250.0,500.0,0.75,0.6595526219288596,0.0012201539681269931,1.2201539681269932e-06,4.0
50.0,50.0,100.0,0.75,0.8877970749542956,0.009777619143116126,4.8888095715580634e-05,5.0
100.0,100.0,200.0,0.75,0.7028688524590165,0.00312448101950107,7.811202548752676e-06,5.0
150.0,150.0,300.0,0.75,0.7400468384074941,0.0019784106895809734,3.297351149301622e-06,5.0
200.0,200.0,400.0,0.75,0.7519996145321384,0.0016889758318579327,2.111219789822416e-06,5.0
250.0,250.0,500.0,0.75,0.7812883906633906,0.0013420313095752602,1.3420313095752603e-06,5.0
50.0,50.0,100.0,0.75,0.733570159857904,0.00748306187973663,3.741530939868315e-05,6.0
100.0,100.0,200.0,0.75,0.6394442223110759,0.003614008912659199,9.035022281647997e-06,6.0
150.0,150.0,300.0,0.75,0.7727327690447399,0.0019064852245276403,3.177475374212734e-06,6.0
200.0,200.0,400.0,0.75,0.765769022230255,0.0014476640660399092,1.8095800825498866e-06,6.0
250.0,250.0,500.0,0.75,0.6986246543443457,0.0011843282292733767,1.1843282292733768e-06,6.0
50.0,50.0,100.0,0.75,0.7729835212489156,0.006409279912392606,3.204639956196303e-05,7.0
100.0,100.0,200.0,0.75,0.7483173928444916,0.0025035791310270123,6.258947827567531e-06,7.0
150.0,150.0,300.0,0.75,0.7182493615045276,0.0017751829263100488,2.958638210516748e-06,7.0
200.0,200.0,400.0,0.75,0.7283520169476565,0.001404579198221865,1.7557239977773311e-06,7.0
250.0,250.0,500.0,0.75,0.7455781833556481,0.0010831993387377392,1.0831993387377392e-06,7.0
50.0,50.0,100.0,0.75,0.7228213977566867,0.007196598230577916,3.598299115288958e-05,8.0
100.0,100.0,200.0,0.75,0.8032868525896418,0.0030717664617154615,7.679416154288654e-06,8.0
150.0,150.0,300.0,0.75,0.7301597869507322,0.002377892420520804,3.96315403420134e-06,8.0
