n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed,gamma
50.0,50.0,300.0,0.25,0.07083211216634755,0.06628353071006567,1.5296199394630539,0.0,1e-05
100.0,100.0,300.0,0.25,0.10647879198318455,0.014247658524782242,0.6106139367763818,0.0,0.013986003757152855
150.0,150.0,300.0,0.25,0.14798577563077037,0.006878761261605129,0.41272567569630775,0.0,0.04402802501351664
200.0,200.0,300.0,0.25,0.16267785869206552,0.005607618752028809,0.42057140640216073,0.0,0.0543385759416058
250.0,250.0,300.0,0.25,0.1658465339925978,0.005447847736223611,0.480692447313848,0.0,0.09659537925237432
50.0,50.0,300.0,0.25,0.2316940161921664,0.011793485313230519,0.27215735338224273,1.0,0.03944382417893511
100.0,100.0,300.0,0.25,0.2109518084574874,0.009801369614055604,0.4200586977452402,1.0,0.006817004015218229
150.0,150.0,300.0,0.25,0.21160433017208008,0.007401675420514459,0.44410052523086757,1.0,0.021987433321766996
200.0,200.0,300.0,0.25,0.19279518504985704,0.006966282752770909,0.5224712064578182,1.0,0.03572327097536872
250.0,250.0,300.0,0.25,0.19602140452888994,0.006096585461793171,0.5379340113346915,1.0,0.03959448072153417
50.0,50.0,300.0,0.25,0.38885285882812015,0.008795201787459548,0.20296619509522032,2.0,0.08621428102249688
100.0,100.0,300.0,0.25,0.35716662931231813,0.005893955890824561,0.2525981096067669,2.0,0.06187156134838479
150.0,150.0,300.0,0.25,0.331473312518563,0.004186614514751557,0.25119687088509346,2.0,0.0708912856991952
200.0,200.0,300.0,0.25,0.27536842534804107,0.004506384830631891,0.3379788622973918,2.0,0.10201132889544154
250.0,250.0,300.0,0.25,0.2613978853623529,0.0047294053490394864,0.4173004719740723,2.0,0.10615539999143948
50.0,50.0,300.0,0.25,0.05214370685175446,0.04916782450093208,1.1346421038676633,3.0,0.06883270475497784
100.0,100.0,300.0,0.25,0.003128096174118855,0.022149603491556945,0.9492687210667262,3.0,0.011650278160407961
150.0,150.0,300.0,0.25,0.059748160406199624,0.014355063911516005,0.8613038346909603,3.0,0.06025169625548425
200.0,200.0,300.0,0.25,0.02713640420978003,0.013032462517631929,0.9774346888223947,3.0,0.039831832628051816
250.0,250.0,300.0,0.25,0.12350400034980441,0.0073832781618705726,0.6514657201650504,3.0,0.061940759664240605
50.0,50.0,300.0,0.25,0.3620207818119896,0.015060297814779692,0.34754533418722366,4.0,0.13843192062442378
100.0,100.0,300.0,0.25,0.33585457799055163,0.009441496832448958,0.4046355785335267,4.0,0.15975602896617508
150.0,150.0,300.0,0.25,0.33249048959873456,0.008359381308196849,0.5015628784918109,4.0,0.045103879979055565
200.0,200.0,300.0,0.25,0.2765557163300539,0.00650433580687974,0.48782518551598053,4.0,0.08358461968897335
250.0,250.0,300.0,0.25,0.25153659682383234,0.005798923520928634,0.5116697224348794,4.0,0.05934176730222832
50.0,50.0,300.0,0.25,0.33007524000719946,0.007677773625845736,0.17717939136567082,5.0,0.0907121912739087
100.0,100.0,300.0,0.25,0.34248853364157666,0.006231883369949922,0.26708071585499665,5.0,1.0000000000010001e-05
150.0,150.0,300.0,0.25,0.3234978756007274,0.0051046381140870635,0.3062782868452238,5.0,1e-05
200.0,200.0,300.0,0.25,0.30157536561002274,0.006032774248072655,0.4524580686054491,5.0,1e-05
250.0,250.0,300.0,0.25,0.3023840047840726,0.00541123591024127,0.47746199208011203,5.0,0.005624400993508713
50.0,50.0,300.0,0.25,0.11983998986833588,0.013321848771877625,0.3074272793510221,6.0,0.14427690005472898
100.0,100.0,300.0,0.25,0.09877625687207064,0.01030686885456277,0.44172295090983293,6.0,0.07912328050480433
150.0,150.0,300.0,0.25,0.1281049375209209,0.007111505347217035,0.4266903208330221,6.0,0.1210866624518415
200.0,200.0,300.0,0.25,0.10550369480431421,0.006290707508700946,0.471803063152571,6.0,0.09945378218754088
250.0,250.0,300.0,0.25,0.1277801310805295,0.005291691954502114,0.4669139959854806,6.0,0.10993063443172697
50.0,50.0,300.0,0.25,0.29901493198832185,0.007895871172213104,0.18221241166645621,7.0,0.06951611777265292
100.0,100.0,300.0,0.25,0.29214822285642517,0.004342624601656175,0.18611248292812177,7.0,0.0502676047683814
150.0,150.0,300.0,0.25,0.22312699517425183,0.004286320055161163,0.25717920330966976,7.0,0.030021861226675876
200.0,200.0,300.0,0.25,0.21612315284815664,0.0043464313137000065,0.3259823485275005,7.0,0.06167113995579476
250.0,250.0,300.0,0.25,0.2044497112919061,0.00427894262300233,0.37755376085314674,7.0,0.041268547199745244
50.0,50.0,300.0,0.25,0.2575050271634186,0.021889272461758685,0.5051370568098158,8.0,0.35529268488905236
100.0,100.0,300.0,0.25,0.10784045344162102,0.012783290726893144,0.547855316866849,8.0,0.020207425663438895
150.0,150.0,300.0,0.25,0.18359812591301183,0.011754330909461432,0.7052598545676859,8.0,0.01919950053299826
200.0,200.0,300.0,0.25,0.2321869556052461,0.007719397668545438,0.5789548251409079,8.0,0.05477957232384314
250.0,250.0,300.0,0.25,0.21980524855189332,0.0069786018188764025,0.615758984018506,8.0,0.08930400400540266
50.0,50.0,300.0,0.25,0.2146314594775492,0.02097853025526745,0.48411992896771044,9.0,1e-05
100.0,100.0,300.0,0.25,0.1657826084456842,0.01195675241291609,0.5124322462678323,9.0,0.013377241396269442
150.0,150.0,300.0,0.25,0.1284053643321742,0.009596930492236883,0.575815829534213,9.0,0.03633202039079449
200.0,200.0,300.0,0.25,0.0576968611203843,0.009696658519869067,0.7272493889901801,9.0,0.013128298512800084
250.0,250.0,300.0,0.25,0.02220918964577978,0.009812535592514852,0.865811964045428,9.0,0.007808886951193535
50.0,50.0,300.0,0.25,0.21162596234568398,0.02745822301128166,0.633651300260346,10.0,1e-05
100.0,100.0,300.0,0.25,0.22523458311805772,0.013083183957921922,0.5607078839109395,10.0,1e-05
150.0,150.0,300.0,0.25,0.28699094524126517,0.008002567186184799,0.4801540311710879,10.0,0.006366209047638739
200.0,200.0,300.0,0.25,0.2958035430219327,0.0053590193364584345,0.4019264502343826,10.0,0.04370854036163594
250.0,250.0,300.0,0.25,0.3192171823445308,0.004795707041198813,0.42315062128224823,10.0,0.03295272619892442
50.0,50.0,300.0,0.25,0.2248259498678596,0.01347626996230803,0.3109908452840314,11.0,0.03858769406856755
100.0,100.0,300.0,0.25,0.23308462961738036,0.008819774077871781,0.37799031762307633,11.0,1e-05
150.0,150.0,300.0,0.25,0.2705306968372692,0.00691565082900904,0.4149390497405424,11.0,1e-05
200.0,200.0,300.0,0.25,0.2519715381541452,0.005705810605183187,0.42793579538873905,11.0,1.0000000000010001e-05
250.0,250.0,300.0,0.25,0.2309621588832757,0.005190747910663475,0.45800716858795365,11.0,0.002601241017628256
50.0,50.0,300.0,0.25,0.24794944078431302,0.006011368172196633,0.13872388089684537,12.0,0.1321704187044252
100.0,100.0,300.0,0.25,0.19484673648355083,0.007141602783433895,0.3060686907185955,12.0,0.10841557775691092
150.0,150.0,300.0,0.25,0.19156829702345302,0.006061509619232032,0.3636905771539219,12.0,0.07450297047891877
200.0,200.0,300.0,0.25,0.16069959939629808,0.006764660689788274,0.5073495517341206,12.0,0.07398167706290522
250.0,250.0,300.0,0.25,0.12376616559226533,0.006193335991529378,0.5464708227820039,12.0,0.04179453532851488
50.0,50.0,300.0,0.25,0.3173435549944929,0.004748040251102914,0.10957015964083647,13.0,0.13439280956084024
100.0,100.0,300.0,0.25,0.2821264642420409,0.004938358521039608,0.21164393661598319,13.0,0.15694774415124674
150.0,150.0,300.0,0.25,0.2265084891690245,0.005279703077662844,0.31678218465977065,13.0,0.11821326814134178
200.0,200.0,300.0,0.25,0.2189593717541437,0.004865771225945246,0.3649328419458934,13.0,0.0964548048157127
250.0,250.0,300.0,0.25,0.22141965662959684,0.005251234248243205,0.4633441983744004,13.0,0.08059516058960063
50.0,50.0,300.0,0.25,0.2992666358998797,0.005683203811287014,0.13115085718354647,14.0,0.029847501885088935
100.0,100.0,300.0,0.25,0.31530251458648134,0.004006957150280488,0.1717267350120209,14.0,0.026243750214405306
150.0,150.0,300.0,0.25,0.27679471837562886,0.004295168768897774,0.25771012613386646,14.0,0.01063583628506467
200.0,200.0,300.0,0.25,0.31340381962136254,0.0034435050167700206,0.2582628762577516,14.0,0.008475391377894041
250.0,250.0,300.0,0.25,0.3149900158969281,0.0035735215693127407,0.31531072670406535,14.0,1e-05
50.0,50.0,300.0,0.25,0.2763633530038688,0.013134423235789066,0.30310207467205535,15.0,0.09514171705460935
100.0,100.0,300.0,0.25,0.26352938303224394,0.0085127368309911,0.36483157847104714,15.0,0.04889986199664597
150.0,150.0,300.0,0.25,0.2817049132357775,0.005436539463747081,0.32619236782482486,15.0,0.057329619652521015
200.0,200.0,300.0,0.25,0.30672745669911783,0.004586159511851338,0.3439619633888503,15.0,0.0313964732382933
250.0,250.0,300.0,0.25,0.3221619921599811,0.004546076888867705,0.4011244313706798,15.0,0.015886025934648922
50.0,50.0,300.0,0.25,0.038610271930225426,0.05043511484061114,1.1638872655525647,16.0,0.011349588657715985
100.0,100.0,300.0,0.25,0.19229085180127858,0.008631576550075721,0.3699247092889595,16.0,0.025050356375215604
150.0,150.0,300.0,0.25,0.20877168977215416,0.0068349141342388935,0.4100948480543336,16.0,0.10459284084510155
200.0,200.0,300.0,0.25,0.17584872542524688,0.00586262940102514,0.4396972050768855,16.0,0.09309861233057667
250.0,250.0,300.0,0.25,0.19675066338652591,0.005026482609565938,0.44351317143228863,16.0,0.09947774469684752
50.0,50.0,300.0,0.25,0.30299099262627616,0.014128095541076314,0.326032974024838,17.0,1.0000000000010001e-05
100.0,100.0,300.0,0.25,0.30223426822334054,0.0075388140894864656,0.3230920324065628,17.0,0.0058861263069104365
150.0,150.0,300.0,0.25,0.2323677215506118,0.008030767642983636,0.4818460585790182,17.0,0.02546015907256958
200.0,200.0,300.0,0.25,0.23566255010270515,0.0063905173101126015,0.4792887982584451,17.0,0.03663046582774966
250.0,250.0,300.0,0.25,0.23872346788697746,0.0057259233755396904,0.505228533135855,17.0,0.04888351479110502
50.0,50.0,300.0,0.25,0.3520658850308058,0.030557488083001152,0.7051728019154112,18.0,1e-05
100.0,100.0,300.0,0.25,0.2945489054100755,0.009778512329720901,0.41907909984518144,18.0,1e-05
150.0,150.0,300.0,0.25,0.267615547636159,0.007172265810404656,0.4303359486242794,18.0,0.01233675754674522
200.0,200.0,300.0,0.25,0.24689441126510148,0.007039854098223224,0.5279890573667418,18.0,0.0024886671661599282
250.0,250.0,300.0,0.25,0.2590079992420896,0.006638529134063019,0.5857525706526193,18.0,0.013330556239854019
50.0,50.0,300.0,0.25,0.2936752352104318,0.010540830316473447,0.24324993038015646,19.0,0.00011332398395458582
100.0,100.0,300.0,0.25,0.21531878303275204,0.008393629286252762,0.35972696941083265,19.0,1.0000000000010001e-05
150.0,150.0,300.0,0.25,0.23124951303303348,0.0057684193534697295,0.3461051612081838,19.0,0.004173214312294167
200.0,200.0,300.0,0.25,0.21426301168873646,0.00558909647145248,0.41918223535893606,19.0,0.005156305348550094
250.0,250.0,300.0,0.25,0.182571576359783,0.00570284246085231,0.5031919818399097,19.0,1.0000000000010001e-05
50.0,50.0,300.0,0.25,0.0996532068318905,0.018128576427226272,0.41835176370522165,20.0,1e-05
100.0,100.0,300.0,0.25,0.06399918079948735,0.011923595198604883,0.5110112227973521,20.0,0.013074382683785565
150.0,150.0,300.0,0.25,0.07841457831437809,0.008454199661319335,0.5072519796791601,20.0,0.009061202371707305
200.0,200.0,300.0,0.25,0.061219877365448705,0.007037171196024026,0.527787839701802,20.0,0.0105938836187497
250.0,250.0,300.0,0.25,0.08937393767380453,0.005800771916378569,0.5118328161510501,20.0,0.010821356105090675
50.0,50.0,300.0,0.25,0.1464443985431096,0.030449044010893937,0.7026702464052447,21.0,0.03263063846178871
100.0,100.0,300.0,0.25,0.155498708209322,0.014257009191774802,0.6110146796474915,21.0,0.035004072447732265
150.0,150.0,300.0,0.25,0.1998020535588358,0.0064513908767101225,0.38708345260260735,21.0,0.06402859176272914
200.0,200.0,300.0,0.25,0.16618414430974732,0.006081308452442235,0.45609813393316767,21.0,0.05686130904864735
250.0,250.0,300.0,0.25,0.18309223449581807,0.005475657133959771,0.48314621770233274,21.0,0.04407394378409004
50.0,50.0,300.0,0.25,0.0,0.10418698460902363,2.4043150294390068,22.0,1e-05
100.0,100.0,300.0,0.25,0.11276823683699017,0.028969493740580186,1.2415497317391508,22.0,0.01954109851618173
150.0,150.0,300.0,0.25,0.21837070606849868,0.010471493746759828,0.6282896248055897,22.0,0.015324361648013107
200.0,200.0,300.0,0.25,0.24903969354821515,0.0068860967125006145,0.5164572534375461,22.0,0.05513615829659947
250.0,250.0,300.0,0.25,0.22812324731557493,0.00611824867011184,0.5398454708922211,22.0,0.10069509053266279
50.0,50.0,300.0,0.25,0.3480855336681183,0.011051549789344807,0.25503576436949554,23.0,0.08172164894145484
100.0,100.0,300.0,0.25,0.32588443782731724,0.004571124493854233,0.19590533545089567,23.0,0.061388238424644984
