n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed,gamma
50.0,50.0,300.0,0.75,0.9094332845886948,0.0492894744547287,1.1374494104937392,0.0,1e-05
100.0,100.0,300.0,0.75,0.6689257638842147,0.010861126482371595,0.4654768492444969,0.0,0.009865069714670566
150.0,150.0,300.0,0.75,0.6382485431330319,0.00575334060421845,0.345200436253107,0.0,0.026760397191459014
200.0,200.0,300.0,0.75,0.6496482567139779,0.005128530574079617,0.3846397930559713,0.0,0.04054329474764756
250.0,250.0,300.0,0.75,0.6736636877121812,0.005177705177740038,0.4568563392123563,0.0,0.06883648864130973
50.0,50.0,300.0,0.75,0.7771871049853445,0.013006278776380109,0.300144894839541,1.0,0.012552711055885348
100.0,100.0,300.0,0.75,0.8477402854590611,0.009890485719772234,0.42387795941881,1.0,0.0040233298282462415
150.0,150.0,300.0,0.75,0.8230053851030191,0.0075018370249692375,0.4501102214981543,1.0,0.008879322211196757
200.0,200.0,300.0,0.75,0.8231611480129049,0.006646865004704136,0.4985148753528102,1.0,0.018245348709963246
250.0,250.0,300.0,0.75,0.8191578693316663,0.005948277987365426,0.524848057708714,1.0,0.024461756209921057
50.0,50.0,300.0,0.75,0.763167774231312,0.00957403603964047,0.2209392932224724,2.0,0.061415820263736175
100.0,100.0,300.0,0.75,0.7451596630400817,0.005929085004614228,0.25410364305489547,2.0,0.03852451084091502
150.0,150.0,300.0,0.75,0.696378139936422,0.0038840399801554856,0.23304239880932914,2.0,0.05477549344829117
200.0,200.0,300.0,0.75,0.6692841555709461,0.004018687832999406,0.3014015874749555,2.0,0.0655551741856775
250.0,250.0,300.0,0.75,0.6692774894364575,0.004035175222010312,0.35604487253032163,2.0,0.07650075920719702
50.0,50.0,300.0,0.75,0.6509966483827322,0.03511032010749463,0.8102381563267992,3.0,0.014324727659341414
100.0,100.0,300.0,0.75,0.618149531760976,0.016748227321736038,0.7177811709315445,3.0,1e-05
150.0,150.0,300.0,0.75,0.6833592469110968,0.011942480074706075,0.7165488044823645,3.0,0.0419630068654659
200.0,200.0,300.0,0.75,0.7202719525063079,0.01059451913540833,0.7945889351556248,3.0,1.0000000000010001e-05
