n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed,gamma
50.0,50.0,300.0,0.75,0.9024134539805382,0.054856822581843746,1.2659266749656248,0.0,0.034270624931959696
100.0,100.0,300.0,0.75,0.6636205254958815,0.010968256964583386,0.47006815562500226,0.0,0.031826123862061746
150.0,150.0,300.0,0.75,0.6375165814864919,0.005755739107963211,0.34534434647779266,0.0,0.03153742088098113
200.0,200.0,300.0,0.75,0.6488970085640873,0.005129057587150444,0.38467931903628333,0.0,0.04324990648864571
250.0,250.0,300.0,0.75,0.6742210695996005,0.005178032153858955,0.45688519004637834,0.0,0.0661578801559808
50.0,50.0,300.0,0.75,0.7663950015328888,0.0131065517114124,0.30245888564797846,1.0,0.032337134819247305
100.0,100.0,300.0,0.75,0.8534928917885235,0.010067610370928523,0.4314690158969367,1.0,0.0308384205413482
150.0,150.0,300.0,0.75,0.8269687032167753,0.0075728731838088145,0.4543723910285289,1.0,0.03069235326536979
200.0,200.0,300.0,0.75,0.824958877360177,0.006661365197014226,0.49960238977606697,1.0,0.03056874289834313
250.0,250.0,300.0,0.75,0.819233189867531,0.005950645255385458,0.5250569342987168,1.0,0.029904637195526128
50.0,50.0,300.0,0.75,0.7634761537302062,0.009575502847108694,0.22097314262558523,2.0,0.05879191583099031
100.0,100.0,300.0,0.75,0.7451570104047411,0.005929090767517386,0.2541038900364594,2.0,0.03829404299341764
150.0,150.0,300.0,0.75,0.6964583355261486,0.0038852127164288163,0.23311276298572897,2.0,0.059641098278654714
200.0,200.0,300.0,0.75,0.6689613561062954,0.00401892381280228,0.30141928596017104,2.0,0.06817439267821188
250.0,250.0,300.0,0.75,0.6701366474923112,0.004036029501215926,0.3561202501072876,2.0,0.07093453587193041
50.0,50.0,300.0,0.75,0.6448186330263525,0.035303905848395004,0.8147055195783462,3.0,0.03241303385829655
100.0,100.0,300.0,0.75,0.6189428938130309,0.017109456986936496,0.7332624422972784,3.0,0.033674311511048625
150.0,150.0,300.0,0.75,0.6831271355254062,0.011943322026952124,0.7165993216171275,3.0,0.039281900678302534
200.0,200.0,300.0,0.75,0.726224043304609,0.010760330560869228,0.8070247920651922,3.0,0.032685168236907106
250.0,250.0,300.0,0.75,0.7064013874537117,0.0067148728526243324,0.5924887811139117,3.0,0.03292362527190893
50.0,50.0,300.0,0.75,0.7194619456264146,0.015037064406466632,0.3470091786107684,4.0,0.1677330036395295
100.0,100.0,300.0,0.75,0.6936377365495319,0.008727034860844848,0.3740157797504935,4.0,0.17898958018171693
150.0,150.0,300.0,0.75,0.7676796668392085,0.00853461146266782,0.5120766877600692,4.0,0.0717755579166033
200.0,200.0,300.0,0.75,0.7004724119486322,0.006396281218402373,0.479721091380178,4.0,0.11280133351972903
250.0,250.0,300.0,0.75,0.6690302010778073,0.005615731365203531,0.49550570869442917,4.0,0.11019868426325757
50.0,50.0,300.0,0.75,0.6894328953574521,0.009026014657631438,0.20829264594534086,5.0,0.10633368311001423
100.0,100.0,300.0,0.75,0.7404739219359587,0.006877632447637088,0.29475567632730376,5.0,0.03300472428638723
150.0,150.0,300.0,0.75,0.737363406324855,0.0053360065365375365,0.3201603921922522,5.0,0.032103023164409605
200.0,200.0,300.0,0.75,0.7910797687640873,0.0064679823674399515,0.4850986775579964,5.0,0.03167920021257304
250.0,250.0,300.0,0.75,0.8110291957080458,0.00609365353437025,0.5376753118561985,5.0,0.0315143570884491
50.0,50.0,300.0,0.75,0.7127160113710571,0.011704893702915562,0.27011293160574373,6.0,0.07189472100097088
100.0,100.0,300.0,0.75,0.7316901666020599,0.008353302622918269,0.35799868383935435,6.0,0.042404156533205534
150.0,150.0,300.0,0.75,0.7071607301864415,0.006029494406436859,0.36176966438621155,6.0,0.07207377845053603
200.0,200.0,300.0,0.75,0.692042689571819,0.005144652541464996,0.3858489406098747,6.0,0.06540924501979233
250.0,250.0,300.0,0.75,0.6929405209365209,0.004532064295135201,0.3998880260413412,6.0,0.07295854342069105
50.0,50.0,300.0,0.75,0.7615905894567191,0.008109764840249563,0.18714841939037452,7.0,0.10095939092726036
100.0,100.0,300.0,0.75,0.7356963845563865,0.004344521681226238,0.18619378633826736,7.0,0.06767782484981058
150.0,150.0,300.0,0.75,0.7215245902991818,0.004501625812349062,0.2700975487409437,7.0,0.04157054777124625
200.0,200.0,300.0,0.75,0.7332612298476104,0.004508063556703929,0.3381047667527947,7.0,0.07197085231907308
250.0,250.0,300.0,0.75,0.7407717854973109,0.004575950088668268,0.4037603019413177,7.0,0.06597228435519281
50.0,50.0,300.0,0.75,0.635125152660602,0.017537612222311105,0.40471412820717934,8.0,0.30502945473781584
100.0,100.0,300.0,0.75,0.7000851784854759,0.011064942236263274,0.4742118101255689,8.0,0.029517421260089147
150.0,150.0,300.0,0.75,0.8068459289372014,0.012334283308861556,0.7400569985316934,8.0,0.028172763996089572
200.0,200.0,300.0,0.75,0.7771676228946377,0.007811082815382856,0.5858312111537143,8.0,0.029155430032475445
250.0,250.0,300.0,0.75,0.7665215697593016,0.007185575226589057,0.6340213435225638,8.0,0.06297296245952533
50.0,50.0,300.0,0.75,0.8975374948339923,0.02654181939827601,0.6125035245756002,9.0,0.030896196170463828
100.0,100.0,300.0,0.75,0.8285727969135365,0.012793965461539838,0.5483128054945645,9.0,0.03244604791178725
150.0,150.0,300.0,0.75,0.8149599554276842,0.010540825994989182,0.6324495596993509,9.0,0.031943498717056255
200.0,200.0,300.0,0.75,0.7885376185951639,0.00964174810578963,0.7231311079342223,9.0,0.03238212406671092
250.0,250.0,300.0,0.75,0.7788606318956197,0.009388217996633023,0.828372176173502,9.0,0.032586756637542076
