sim_scenario,n_plus,n_minus,n_target,pi_target,seed,time,gamma_selection_name,estimator,type,estimator_name,kernel,pi,var_n,var,gamma
sim_par_5-Cauchy,50,50,100,0.25,87,0.010858535766601562,one_over_p,nrm,U,nrm_U,rbf,0.0,0.9707125484226697,19.414250968453395,0.2
sim_par_5-Cauchy,50,50,100,0.25,87,0.004981040954589844,one_over_p,nrm,V,nrm_V,rbf,0.7957002537701494,0.003032250417901493,0.06064500835802986,0.2
sim_par_5-Cauchy,50,50,100,0.25,87,0.004891633987426758,one_over_p,ipr,U,ipr_U,rbf,0.0,0.9707125484226697,19.414250968453395,0.2
sim_par_5-Cauchy,50,50,100,0.25,87,0.004778861999511719,one_over_p,ipr,V,ipr_V,rbf,0.4454022096765938,0.003032250417901493,0.06064500835802986,0.2
sim_par_5-Cauchy,50,50,100,0.25,87,0.13473296165466309,numerical,ipr,U,ipr_U,rbf,0.0,0.22129884102861805,4.425976820572361,0.05530344693858258
sim_par_5-Cauchy,50,50,100,0.25,87,0.06368184089660645,grid,ipr,U,ipr_U,rbf,0.0,0.23616933500838103,4.72338670016762,0.04397518629552632
sim_par_5-Cauchy,50,50,100,0.25,87,2.9226388931274414,bootstrap_var,ipr,U,ipr_U,rbf,0.0,0.3820171095866529,7.640342191733058,0.10903722033025315
sim_par_5-Cauchy,50,50,100,0.25,87,2.9406068325042725,bootstrap_mse,ipr,U,ipr_U,rbf,0.543974402657368,0.4345441962423192,8.690883924846384,1.8572330312944454e-07
sim_par_5-Cauchy,50,50,100,0.25,87,0.06092500686645508,distance,ipr,U,ipr_U,rbf,0.0,0.3820171095866529,7.640342191733058,0.10903722033025315
sim_par_5-Cauchy,50,50,100,0.25,87,0.06031370162963867,distance,ipr,V,ipr_V,rbf,1.0,1.9098920232407286,38.19784046481457,1.8572330312944454e-07
sim_par_5-Cauchy,50,50,100,0.25,87,0.040283203125,numerical,ipr,V,ipr_V,rbf,0.48857080673306824,0.0009371039579841897,0.018742079159683792,0.4
sim_par_5-Cauchy,50,50,100,0.25,87,0.06249880790710449,grid,ipr,V,ipr_V,rbf,0.40203151142582927,0.00592355983397784,0.11847119667955679,0.10903722033025315
sim_par_5-Cauchy,50,50,100,0.25,87,3.034358263015747,bootstrap_var,ipr,V,ipr_V,rbf,0.40203151142582927,0.00592355983397784,0.11847119667955679,0.10903722033025315
sim_par_5-Cauchy,50,50,100,0.25,87,3.015320062637329,bootstrap_mse,ipr,V,ipr_V,rbf,0.40203151142582927,0.00592355983397784,0.11847119667955679,0.10903722033025315
sim_par_5-Cauchy,100,100,200,0.25,87,0.008674144744873047,one_over_p,nrm,U,nrm_U,rbf,0.0,20.94346056439313,837.7384225757252,0.2
sim_par_5-Cauchy,100,100,200,0.25,87,0.007987022399902344,one_over_p,nrm,V,nrm_V,rbf,0.9464340966330154,0.009392821082122083,0.37571284328488325,0.2
sim_par_5-Cauchy,100,100,200,0.25,87,0.007521867752075195,one_over_p,ipr,U,ipr_U,rbf,0.0,20.94346056439313,837.7384225757252,0.2
