sim_scenario,n_plus,n_minus,n_target,pi_target,seed,time,gamma_selection_name,estimator,type,estimator_name,kernel,pi,var_n,var,gamma
sim_par_7-Cauchy,50,50,300,0.25,87,5.865406513214111,bootstrap_var,ipr,V,ipr_V,rbf,0.46371976720078006,0.00491560521630662,0.11343704345322969,0.1120667687616934
sim_par_7-Cauchy,50,50,300,0.25,87,5.973621368408203,bootstrap_mse,ipr,V,ipr_V,rbf,0.46371976720078006,0.00491560521630662,0.11343704345322969,0.1120667687616934
sim_par_7-Cauchy,100,100,300,0.25,87,0.009801149368286133,one_over_p,nrm,U,nrm_U,rbf,0.5302398334287207,0.03410612072526704,1.4616908882257302,0.2
sim_par_7-Cauchy,100,100,300,0.25,87,0.009763002395629883,one_over_p,nrm,V,nrm_V,rbf,0.7298909739262301,0.004108580315574111,0.17608201352460476,0.2
sim_par_7-Cauchy,100,100,300,0.25,87,0.010240554809570312,one_over_p,ipr,U,ipr_U,rbf,0.2960956808970802,0.03410612072526704,1.4616908882257302,0.2
sim_par_7-Cauchy,100,100,300,0.25,87,0.00971221923828125,one_over_p,ipr,V,ipr_V,rbf,0.4279200972565161,0.004108580315574111,0.17608201352460476,0.2
sim_par_7-Cauchy,100,100,300,0.25,87,0.0742802619934082,numerical,ipr,U,ipr_U,rbf,0.33914009026223224,0.02308689582592764,0.9894383925397559,0.4
sim_par_7-Cauchy,100,100,300,0.25,87,0.14032745361328125,grid,ipr,U,ipr_U,rbf,0.26762022961049303,0.03972415544850811,1.7024638049360619,0.12487516503570134
sim_par_7-Cauchy,100,100,300,0.25,87,6.552497386932373,bootstrap_var,ipr,U,ipr_U,rbf,0.26762022961049303,0.03972415544850811,1.7024638049360619,0.12487516503570134
sim_par_7-Cauchy,100,100,300,0.25,87,6.607771396636963,bootstrap_mse,ipr,U,ipr_U,rbf,0.26762022961049303,0.03972415544850811,1.7024638049360619,0.12487516503570134
sim_par_7-Cauchy,100,100,300,0.25,87,0.14359164237976074,distance,ipr,U,ipr_U,rbf,0.34939764410472834,0.6032576258691957,25.853898251536958,2.638837977101422e-06
sim_par_7-Cauchy,100,100,300,0.25,87,0.1457672119140625,distance,ipr,V,ipr_V,rbf,0.37248630721945775,0.1697538999446126,7.275167140483397,2.0000647050215857e-06
sim_par_7-Cauchy,100,100,300,0.25,87,0.0946202278137207,numerical,ipr,V,ipr_V,rbf,0.4629488407990256,0.0011831563648611446,0.05070670135119191,0.4
sim_par_7-Cauchy,100,100,300,0.25,87,0.1447150707244873,grid,ipr,V,ipr_V,rbf,0.4007268562062438,0.0069671152412272295,0.2985906531954527,0.12487516503570134
sim_par_7-Cauchy,100,100,300,0.25,87,6.653717279434204,bootstrap_var,ipr,V,ipr_V,rbf,0.4007268562062438,0.0069671152412272295,0.2985906531954527,0.12487516503570134
sim_par_7-Cauchy,100,100,300,0.25,87,6.981696128845215,bootstrap_mse,ipr,V,ipr_V,rbf,0.4007268562062438,0.0069671152412272295,0.2985906531954527,0.12487516503570134
sim_par_7-Cauchy,150,150,300,0.25,87,0.013785362243652344,one_over_p,nrm,U,nrm_U,rbf,0.4570527256000382,0.02142525632148883,1.2855153792893297,0.2
sim_par_7-Cauchy,150,150,300,0.25,87,0.014366865158081055,one_over_p,nrm,V,nrm_V,rbf,0.7177231139109875,0.00406451020281732,0.24387061216903919,0.2
sim_par_7-Cauchy,150,150,300,0.25,87,0.014094352722167969,one_over_p,ipr,U,ipr_U,rbf,0.2065072847024848,0.02142525632148883,1.2855153792893297,0.2
sim_par_7-Cauchy,150,150,300,0.25,87,0.013722419738769531,one_over_p,ipr,V,ipr_V,rbf,0.3717517466149678,0.00406451020281732,0.24387061216903919,0.2
sim_par_7-Cauchy,150,150,300,0.25,87,0.12374305725097656,numerical,ipr,U,ipr_U,rbf,0.23737791486409632,0.01775268730398198,1.0651612382389188,0.4
sim_par_7-Cauchy,150,150,300,0.25,87,0.19426846504211426,grid,ipr,U,ipr_U,rbf,0.15851486916700724,0.025328286520401783,1.519697191224107,0.11450724907254524
sim_par_7-Cauchy,150,150,300,0.25,87,9.030726671218872,bootstrap_var,ipr,U,ipr_U,rbf,0.15851486916700724,0.025328286520401783,1.519697191224107,0.11450724907254524
