sim_scenario,n_plus,n_minus,n_target,pi_target,seed,time,gamma_selection_name,estimator,type,estimator_name,kernel,pi,var_n,var,gamma
sim_par_5-p-10,50,50,100,0.75,87,0.011177301406860352,one_over_p,nrm,U,nrm_U,rbf,0.6135996220683736,0.02753433057459024,0.5506866114918048,0.1
sim_par_5-p-10,50,50,100,0.75,87,0.004510402679443359,one_over_p,nrm,V,nrm_V,rbf,0.7344391094848994,0.008949500221103279,0.17899000442206556,0.1
sim_par_5-p-10,50,50,100,0.75,87,0.004877805709838867,one_over_p,ipr,U,ipr_U,rbf,0.6177958355141826,0.02753433057459024,0.5506866114918048,0.1
sim_par_5-p-10,50,50,100,0.75,87,0.004609346389770508,one_over_p,ipr,V,ipr_V,rbf,0.5699755013279106,0.008949500221103279,0.17899000442206556,0.1
sim_par_5-p-10,50,50,100,0.75,87,0.06752467155456543,numerical,ipr,U,ipr_U,rbf,0.6548939612553131,0.018986625554750506,0.3797325110950101,0.0032929432974421525
sim_par_5-p-10,50,50,100,0.75,87,0.07042098045349121,grid,ipr,U,ipr_U,rbf,0.6492648041705652,0.019041371132424514,0.38082742264849023,0.009665276202499127
sim_par_5-p-10,50,50,100,0.75,87,3.1829147338867188,bootstrap_var,ipr,U,ipr_U,rbf,0.61864908968237,0.02623235411712024,0.5246470823424048,0.09144938226567655
sim_par_5-p-10,50,50,100,0.75,87,3.241631031036377,bootstrap_mse,ipr,U,ipr_U,rbf,0.6281552038148622,0.021072075487390735,0.42144150974781464,0.047163865613091195
sim_par_5-p-10,50,50,100,0.75,87,0.06852078437805176,distance,ipr,U,ipr_U,rbf,0.6434011922933103,0.019239554990262617,0.38479109980525233,0.017368065026471105
sim_par_5-p-10,50,50,100,0.75,87,0.07404088973999023,distance,ipr,V,ipr_V,rbf,0.6216632926411486,0.012182849725595786,0.2436569945119157,0.009665276202499127
sim_par_5-p-10,50,50,100,0.75,87,0.045075178146362305,numerical,ipr,V,ipr_V,rbf,0.5362403029334933,0.004688376661851484,0.09376753323702967,0.2
sim_par_5-p-10,50,50,100,0.75,87,0.06838774681091309,grid,ipr,V,ipr_V,rbf,0.5734225814981445,0.009281215503287239,0.18562431006574476,0.09144938226567655
sim_par_5-p-10,50,50,100,0.75,87,3.1741456985473633,bootstrap_var,ipr,V,ipr_V,rbf,0.5734225814981445,0.009281215503287239,0.18562431006574476,0.09144938226567655
sim_par_5-p-10,50,50,100,0.75,87,3.2252001762390137,bootstrap_mse,ipr,V,ipr_V,rbf,0.5734225814981445,0.009281215503287239,0.18562431006574476,0.09144938226567655
sim_par_5-p-10,100,100,200,0.75,87,0.010475397109985352,one_over_p,nrm,U,nrm_U,rbf,0.8759875543530851,0.009637651288978555,0.3855060515591422,0.1
sim_par_5-p-10,100,100,200,0.75,87,0.009481430053710938,one_over_p,nrm,V,nrm_V,rbf,0.8746234795063085,0.005489140271410184,0.21956561085640736,0.1
sim_par_5-p-10,100,100,200,0.75,87,0.010500669479370117,one_over_p,ipr,U,ipr_U,rbf,0.8693128084448882,0.009637651288978555,0.3855060515591422,0.1
sim_par_5-p-10,100,100,200,0.75,87,0.01084280014038086,one_over_p,ipr,V,ipr_V,rbf,0.7798642481883172,0.005489140271410184,0.21956561085640736,0.1
sim_par_5-p-10,100,100,200,0.75,87,0.18303728103637695,numerical,ipr,U,ipr_U,rbf,0.8815276695497785,0.008653704306087896,0.34614817224351585,0.02696170773804675
sim_par_5-p-10,100,100,200,0.75,87,0.1226806640625,grid,ipr,U,ipr_U,rbf,0.8819224929365295,0.00865415593346832,0.3461662373387328,0.025682494554129656
sim_par_5-p-10,100,100,200,0.75,87,5.71094536781311,bootstrap_var,ipr,U,ipr_U,rbf,0.8693925121111008,0.009599415119942518,0.3839766047977007,0.09831584821389645
sim_par_5-p-10,100,100,200,0.75,87,5.859812259674072,bootstrap_mse,ipr,U,ipr_U,rbf,0.8819224929365295,0.00865415593346832,0.3461662373387328,0.025682494554129656
sim_par_5-p-10,100,100,200,0.75,87,0.11405181884765625,distance,ipr,U,ipr_U,rbf,0.8870997187003039,0.008738022457339888,0.3495208982935955,0.010486445676750326
sim_par_5-p-10,100,100,200,0.75,87,0.11821675300598145,distance,ipr,V,ipr_V,rbf,0.8485864644300039,0.007022849234942847,0.28091396939771385,0.010486445676750326
sim_par_5-p-10,100,100,200,0.75,87,0.08174753189086914,numerical,ipr,V,ipr_V,rbf,0.7000373560912088,0.0035596377085808264,0.14238550834323305,0.2
sim_par_5-p-10,100,100,200,0.75,87,0.12010765075683594,grid,ipr,V,ipr_V,rbf,0.7811727451668304,0.0055160848926912,0.22064339570764796,0.09831584821389645
sim_par_5-p-10,100,100,200,0.75,87,5.675902605056763,bootstrap_var,ipr,V,ipr_V,rbf,0.7811727451668304,0.0055160848926912,0.22064339570764796,0.09831584821389645
sim_par_5-p-10,100,100,200,0.75,87,5.758018493652344,bootstrap_mse,ipr,V,ipr_V,rbf,0.8292747539743897,0.006485394238993427,0.25941576955973705,0.03545824089098631
sim_par_5-p-10,150,150,300,0.75,87,0.017856121063232422,one_over_p,nrm,U,nrm_U,rbf,0.8060045231397044,0.0055411287541081225,0.3324677252464874,0.1
sim_par_5-p-10,150,150,300,0.75,87,0.014983654022216797,one_over_p,nrm,V,nrm_V,rbf,0.8174614613106355,0.003767194861124571,0.22603169166747428,0.1
sim_par_5-p-10,150,150,300,0.75,87,0.017061233520507812,one_over_p,ipr,U,ipr_U,rbf,0.8129073100352296,0.0055411287541081225,0.3324677252464874,0.1
sim_par_5-p-10,150,150,300,0.75,87,0.018713951110839844,one_over_p,ipr,V,ipr_V,rbf,0.7586771407084938,0.003767194861124571,0.22603169166747428,0.1
sim_par_5-p-10,150,150,300,0.75,87,0.3263235092163086,numerical,ipr,U,ipr_U,rbf,0.8264114787261299,0.004719229468672061,0.28315376812032367,0.01228889683956983
