sim_scenario,n_plus,n_minus,n_target,pi_target,seed,time,gamma_selection_name,estimator,type,estimator_name,kernel,pi,var_n,var,gamma
sim_par_2,150,150,100,0.25,0,0.013139486312866211,one_over_p,nrm,U,nrm_type,rbf,0.14522744194683848,0.011153263111456443,0.4779969904909904,0.2
sim_par_2,150,150,100,0.25,0,0.00755620002746582,one_over_p,nrm,V,nrm_type,rbf,0.40309505032426907,0.008802129623140437,0.3772341267060187,0.2
sim_par_2,150,150,100,0.25,0,0.006875038146972656,one_over_p,ipr,U,ipr_type,rbf,0.17551531976780294,0.011153263111456443,0.4779969904909904,0.2
sim_par_2,150,150,100,0.25,0,0.007148027420043945,one_over_p,ipr,V,ipr_type,rbf,0.2124031765422441,0.008802129623140437,0.3772341267060187,0.2
sim_par_2,150,150,100,0.25,0,0.13839006423950195,numerical,ipr,U,ipr_type,rbf,0.19559058148187797,0.010258267322841628,0.43964002812178404,0.07848012073022569
sim_par_2,150,150,100,0.25,0,0.1016688346862793,grid,ipr,U,ipr_type,rbf,0.19488799697174392,0.010259486133621753,0.4396922628695037,0.08202805443741494
sim_par_2,150,150,100,0.25,0,4.549882411956787,bootstrap_var,ipr,U,ipr_type,rbf,0.15399392639520915,0.014009071325499663,0.6003887710928427,0.4005442587511837
sim_par_2,150,150,100,0.25,0,4.595637083053589,bootstrap_mse,ipr,U,ipr_type,rbf,0.19488799697174392,0.010259486133621753,0.4396922628695037,0.08202805443741494
sim_par_2,150,150,100,0.25,0,0.10390567779541016,distance,ipr,U,ipr_type,rbf,0.17642634897864296,0.011077620462916545,0.47475516269642337,0.1934906110515338
sim_par_2,150,150,100,0.25,0,0.10817170143127441,distance,ipr,V,ipr_type,rbf,0.222727624351294,0.00996022746674783,0.4268668914320498,0.015015554819373283
sim_par_2,150,150,200,0.25,0,0.009551525115966797,one_over_p,nrm,U,nrm_type,rbf,0.07934175643553264,0.009244667199916989,0.5042545745409267,0.2
sim_par_2,150,150,200,0.25,0,0.009233474731445312,one_over_p,nrm,V,nrm_type,rbf,0.3488210918327387,0.00697662259831918,0.3805430508174098,0.2
sim_par_2,150,150,200,0.25,0,0.009254932403564453,one_over_p,ipr,U,ipr_type,rbf,0.1409220761815952,0.009244667199916989,0.5042545745409267,0.2
sim_par_2,150,150,200,0.25,0,0.009102344512939453,one_over_p,ipr,V,ipr_type,rbf,0.18797986611592293,0.00697662259831918,0.3805430508174098,0.2
sim_par_2,150,150,200,0.25,0,0.21662354469299316,numerical,ipr,U,ipr_type,rbf,0.1526627637344221,0.008719384347757115,0.47560278260493355,0.06450259913670753
sim_par_2,150,150,200,0.25,0,0.1451103687286377,grid,ipr,U,ipr_type,rbf,0.1553609111751702,0.008728773777868999,0.476114933338309,0.052944326536885064
sim_par_2,150,150,200,0.25,0,6.654134511947632,bootstrap_var,ipr,U,ipr_type,rbf,0.14621461350063547,0.010575939036391615,0.5768694019849971,0.4064897689801073
sim_par_2,150,150,200,0.25,0,6.989208698272705,bootstrap_mse,ipr,U,ipr_type,rbf,0.1487642331906739,0.008743233662351345,0.47690365431007337,0.08554746575705142
sim_par_2,150,150,200,0.25,0,0.14887213706970215,distance,ipr,U,ipr_type,rbf,0.1487642331906739,0.008743233662351345,0.47690365431007337,0.08554746575705142
sim_par_2,150,150,200,0.25,0,0.14860868453979492,distance,ipr,V,ipr_type,rbf,0.18375153651102555,0.008134585588725981,0.44370466847596257,0.015768710440490566
sim_par_2,150,150,300,0.25,0,0.013514518737792969,one_over_p,nrm,U,nrm_type,rbf,0.1214482077321964,0.007632952437183846,0.45797714623103075,0.2
sim_par_2,150,150,300,0.25,0,0.013368606567382812,one_over_p,nrm,V,nrm_type,rbf,0.33464283286822344,0.00576031860461461,0.3456191162768766,0.2
sim_par_2,150,150,300,0.25,0,0.01210641860961914,one_over_p,ipr,U,ipr_type,rbf,0.12471774961219673,0.007632952437183846,0.45797714623103075,0.2
sim_par_2,150,150,300,0.25,0,0.012495040893554688,one_over_p,ipr,V,ipr_type,rbf,0.17390293577767585,0.00576031860461461,0.3456191162768766,0.2
sim_par_2,150,150,300,0.25,0,0.37058377265930176,numerical,ipr,U,ipr_type,rbf,0.14798577563077037,0.006878761261605129,0.41272567569630775,0.04402802501351664
sim_par_2,150,150,300,0.25,0,0.21332383155822754,grid,ipr,U,ipr_type,rbf,0.14553107368180357,0.006884485263237258,0.41306911579423544,0.052944326536885064
sim_par_2,150,150,300,0.25,0,10.281505584716797,bootstrap_var,ipr,U,ipr_type,rbf,0.13816782469385241,0.006976966391354518,0.41861798348127105,0.08554746575705142
sim_par_2,150,150,300,0.25,0,12.483598947525024,bootstrap_mse,ipr,U,ipr_type,rbf,0.15754239021231603,0.006958711831296587,0.4175227098777953,0.015768710440490566
sim_par_2,150,150,300,0.25,0,0.21674203872680664,distance,ipr,U,ipr_type,rbf,0.14553107368180357,0.006884485263237258,0.41306911579423544,0.052944326536885064
sim_par_2,150,150,300,0.25,0,0.21486210823059082,distance,ipr,V,ipr_type,rbf,0.17377431833159013,0.0063123586186494066,0.3787415171189644,0.015768710440490566
sim_par_2,150,150,400,0.25,0,0.019078969955444336,one_over_p,nrm,U,nrm_type,rbf,0.1413372536535277,0.0067435685509373,0.42590959269077683,0.2
sim_par_2,150,150,400,0.25,0,0.019561290740966797,one_over_p,nrm,V,nrm_type,rbf,0.3256137478055141,0.005118969093029217,0.3233033111386874,0.2
sim_par_2,150,150,400,0.25,0,0.019089221954345703,one_over_p,ipr,U,ipr_type,rbf,0.15183207709909685,0.0067435685509373,0.42590959269077683,0.2
sim_par_2,150,150,400,0.25,0,0.01866459846496582,one_over_p,ipr,V,ipr_type,rbf,0.1964207185890936,0.005118969093029217,0.3233033111386874,0.2
sim_par_2,150,150,400,0.25,0,0.5651795864105225,numerical,ipr,U,ipr_type,rbf,0.1428020524620014,0.0061345101762476225,0.387442747973534,0.044880890165827116
sim_par_2,150,150,400,0.25,0,0.29235315322875977,grid,ipr,U,ipr_type,rbf,0.14258572173627487,0.006137755630475252,0.38764772403001585,0.05262122918847087
sim_par_2,150,150,400,0.25,0,14.099535703659058,bootstrap_var,ipr,U,ipr_type,rbf,0.17957755755841776,0.007850929026537048,0.4958481490444451,0.3958060053380837
sim_par_2,150,150,400,0.25,0,14.832924604415894,bootstrap_mse,ipr,U,ipr_type,rbf,0.14263557238322583,0.006205925188478115,0.3919531697986178,0.08499585845414165
sim_par_2,150,150,400,0.25,0,0.3124086856842041,distance,ipr,U,ipr_type,rbf,0.14258572173627487,0.006137755630475252,0.38764772403001585,0.05262122918847087
sim_par_2,150,150,400,0.25,0,0.3219456672668457,distance,ipr,V,ipr_type,rbf,0.16130161348867705,0.005615408520863485,0.35465738026506216,0.015993990276478076
sim_par_2,150,150,500,0.25,0,0.027571916580200195,one_over_p,nrm,U,nrm_type,rbf,0.16576072742511533,0.006125702312970312,0.3995023247589334,0.2
sim_par_2,150,150,500,0.25,0,0.026228904724121094,one_over_p,nrm,V,nrm_type,rbf,0.3279646831828244,0.004649953593017782,0.30325784302289877,0.2
sim_par_2,150,150,500,0.25,0,0.027752161026000977,one_over_p,ipr,U,ipr_type,rbf,0.16497934679245851,0.006125702312970312,0.3995023247589334,0.2
sim_par_2,150,150,500,0.25,0,0.026674270629882812,one_over_p,ipr,V,ipr_type,rbf,0.20787537158180652,0.004649953593017782,0.30325784302289877,0.2
sim_par_2,150,150,500,0.25,0,0.7303829193115234,numerical,ipr,U,ipr_type,rbf,0.16521720661423195,0.005469709148282965,0.35672016184454114,0.03826874743868348
sim_par_2,150,150,500,0.25,0,0.40402674674987793,grid,ipr,U,ipr_type,rbf,0.1655659461194086,0.0054703517670582225,0.3567620717646667,0.034934827906430634
sim_par_2,150,150,500,0.25,0,18.980010986328125,bootstrap_var,ipr,U,ipr_type,rbf,0.18579085440399928,0.007284371379010152,0.4750676986310968,0.3958060053380837
sim_par_2,150,150,500,0.25,0,20.565210342407227,bootstrap_mse,ipr,U,ipr_type,rbf,0.16390284717087267,0.005480346463559632,0.3574138997973673,0.05262122918847087
sim_par_2,150,150,500,0.25,0,0.4294283390045166,distance,ipr,U,ipr_type,rbf,0.16390284717087267,0.005480346463559632,0.3574138997973673,0.05262122918847087
sim_par_2,150,150,500,0.25,0,0.41544365882873535,distance,ipr,V,ipr_type,rbf,0.18356464914727227,0.004989338067891856,0.3253916131233819,0.015993990276478076
sim_par_2,150,150,1000,0.25,0,0.08670258522033691,one_over_p,nrm,U,nrm_type,rbf,0.18019540842181647,0.004908645972913677,0.34246367252886123,0.2
sim_par_2,150,150,1000,0.25,0,0.08557748794555664,one_over_p,nrm,V,nrm_type,rbf,0.31964610436889307,0.0037260994433688933,0.2599604262815507,0.2
sim_par_2,150,150,1000,0.25,0,0.08920001983642578,one_over_p,ipr,U,ipr_type,rbf,0.1931320318796234,0.004908645972913677,0.34246367252886123,0.2
sim_par_2,150,150,1000,0.25,0,0.09298157691955566,one_over_p,ipr,V,ipr_type,rbf,0.23240360033255797,0.0037260994433688933,0.2599604262815507,0.2
sim_par_2,150,150,1000,0.25,0,2.0157418251037598,numerical,ipr,U,ipr_type,rbf,0.18111632997693217,0.00447381399285246,0.31212655764086933,0.05082226144295089
sim_par_2,150,150,1000,0.25,0,1.4858009815216064,grid,ipr,U,ipr_type,rbf,0.18127778457300148,0.004473942749549402,0.3121355406662374,0.05262122918847087
sim_par_2,150,150,1000,0.25,0,61.80823040008545,bootstrap_var,ipr,U,ipr_type,rbf,0.2139541470641625,0.005837809637839629,0.4072890445004393,0.3958060053380837
sim_par_2,150,150,1000,0.25,0,68.30549836158752,bootstrap_mse,ipr,U,ipr_type,rbf,0.1792275714303767,0.004490048024446678,0.3132591644962799,0.031921221013521496
sim_par_2,150,150,1000,0.25,0,1.416621446609497,distance,ipr,U,ipr_type,rbf,0.1880311953684234,0.004673590558318836,0.32606445755712804,0.1403020107609822
sim_par_2,150,150,1000,0.25,0,1.566326379776001,distance,ipr,V,ipr_type,rbf,0.19250415456027953,0.004112456516419121,0.2869155709129619,0.015993990276478076
sim_par_2,150,150,1500,0.25,0,0.21551871299743652,one_over_p,nrm,U,nrm_type,rbf,0.15791402099709392,0.004667086125054389,0.333363294646742,0.2
sim_par_2,150,150,1500,0.25,0,0.20854854583740234,one_over_p,nrm,V,nrm_type,rbf,0.30386649250295555,0.003542734006216679,0.25305242901547703,0.2
sim_par_2,150,150,1500,0.25,0,0.2548692226409912,one_over_p,ipr,U,ipr_type,rbf,0.1753939603104721,0.004667086125054389,0.333363294646742,0.2
sim_par_2,150,150,1500,0.25,0,0.266124963760376,one_over_p,ipr,V,ipr_type,rbf,0.21694917828726246,0.003542734006216679,0.25305242901547703,0.2
sim_par_2,150,150,1500,0.25,0,8.023029565811157,numerical,ipr,U,ipr_type,rbf,0.17092852705094047,0.004222691784466151,0.30162084174758214,0.04636318996417249
sim_par_2,150,150,1500,0.25,0,3.9866793155670166,grid,ipr,U,ipr_type,rbf,0.17104626684527385,0.004224210179269868,0.30172929851927627,0.05262122918847087
sim_par_2,150,150,1500,0.25,0,126.45844459533691,bootstrap_var,ipr,U,ipr_type,rbf,0.1902204814865242,0.00553119928364971,0.3950856631178364,0.3958060053380837
sim_par_2,150,150,1500,0.25,0,114.79668092727661,bootstrap_mse,ipr,U,ipr_type,rbf,0.17152634414001755,0.004270628250973747,0.30504487506955336,0.08499585845414165
sim_par_2,150,150,1500,0.25,0,1.9003362655639648,distance,ipr,U,ipr_type,rbf,0.1727627385590269,0.004436633123621812,0.31690236597298654,0.1403020107609822
sim_par_2,150,150,1500,0.25,0,1.9002246856689453,distance,ipr,V,ipr_type,rbf,0.1855402464474341,0.0038700378913661877,0.27643127795472766,0.015993990276478076
sim_par_2,150,150,100,0.25,1,0.009490251541137695,one_over_p,nrm,U,nrm_type,rbf,0.5509281863285024,0.015330063511387635,0.6570027219166129,0.2
sim_par_2,150,150,100,0.25,1,0.007998466491699219,one_over_p,nrm,V,nrm_type,rbf,0.662448469053544,0.011432959031579966,0.48998395849628423,0.2
sim_par_2,150,150,100,0.25,1,0.0067141056060791016,one_over_p,ipr,U,ipr_type,rbf,0.5729238609940137,0.015330063511387635,0.6570027219166129,0.2
sim_par_2,150,150,100,0.25,1,0.007883787155151367,one_over_p,ipr,V,ipr_type,rbf,0.5630062307697918,0.011432959031579966,0.48998395849628423,0.2
sim_par_2,150,150,100,0.25,1,0.1622481346130371,numerical,ipr,U,ipr_type,rbf,0.48447755515659485,0.013616335090415701,0.5835572181606729,0.04783326274175109
sim_par_2,150,150,100,0.25,1,0.1115877628326416,grid,ipr,U,ipr_type,rbf,0.4917025538214454,0.013626592936269841,0.5839968401258503,0.05702158401765413
sim_par_2,150,150,100,0.25,1,4.977240324020386,bootstrap_var,ipr,U,ipr_type,rbf,0.45760762510160663,0.013758719940696643,0.5896594260298561,0.01656987189615501
sim_par_2,150,150,100,0.25,1,5.159528017044067,bootstrap_mse,ipr,U,ipr_type,rbf,0.4917025538214454,0.013626592936269841,0.5839968401258503,0.05702158401765413
