sim_scenario,n_plus,n_minus,n_target,pi_target,seed,time,gamma_selection_name,estimator,type,estimator_name,kernel,pi,var_n,var,gamma
sim_par_5-p-20,50,50,100,0.75,87,0.010319948196411133,one_over_p,nrm,U,nrm_U,rbf,0.8371379169563784,0.009466736291080234,0.18933472582160468,0.05
sim_par_5-p-20,50,50,100,0.75,87,0.004495859146118164,one_over_p,nrm,V,nrm_V,rbf,0.8478109052824627,0.003923419479826066,0.07846838959652132,0.05
sim_par_5-p-20,50,50,100,0.75,87,0.004438161849975586,one_over_p,ipr,U,ipr_U,rbf,0.8363721352918778,0.009466736291080234,0.18933472582160468,0.05
sim_par_5-p-20,50,50,100,0.75,87,0.004428863525390625,one_over_p,ipr,V,ipr_V,rbf,0.7161054923557111,0.003923419479826066,0.07846838959652132,0.05
sim_par_5-p-20,50,50,100,0.75,87,0.061383962631225586,numerical,ipr,U,ipr_U,rbf,0.8430498570041666,0.009302796169777949,0.186055923395559,0.031033119493401387
sim_par_5-p-20,50,50,100,0.75,87,0.06373906135559082,grid,ipr,U,ipr_U,rbf,0.8439534215977764,0.00930581371501497,0.1861162743002994,0.028649781182582514
sim_par_5-p-20,50,50,100,0.75,87,2.940342426300049,bootstrap_var,ipr,U,ipr_U,rbf,0.8439534215977764,0.00930581371501497,0.1861162743002994,0.028649781182582514
sim_par_5-p-20,50,50,100,0.75,87,2.9641239643096924,bootstrap_mse,ipr,U,ipr_U,rbf,0.8464057306379545,0.009345579193340314,0.18691158386680626,0.02229045589765911
sim_par_5-p-20,50,50,100,0.75,87,0.062340497970581055,distance,ipr,U,ipr_U,rbf,0.8523996937239253,0.0096794865387115,0.19358973077423,0.0068566627741449586
sim_par_5-p-20,50,50,100,0.75,87,0.059862613677978516,distance,ipr,V,ipr_V,rbf,0.7934894924192223,0.006734907152263315,0.13469814304526628,0.00611049844481068
sim_par_5-p-20,50,50,100,0.75,87,0.022739887237548828,numerical,ipr,V,ipr_V,rbf,0.618386885716869,0.0014573013476368822,0.02914602695273764,0.1
sim_par_5-p-20,50,50,100,0.75,87,0.06143522262573242,grid,ipr,V,ipr_V,rbf,0.7570160157363071,0.005210871657856332,0.10421743315712663,0.028649781182582514
sim_par_5-p-20,50,50,100,0.75,87,2.8747541904449463,bootstrap_var,ipr,V,ipr_V,rbf,0.7570160157363071,0.005210871657856332,0.10421743315712663,0.028649781182582514
sim_par_5-p-20,50,50,100,0.75,87,2.9605135917663574,bootstrap_mse,ipr,V,ipr_V,rbf,0.7570160157363071,0.005210871657856332,0.10421743315712663,0.028649781182582514
sim_par_5-p-20,100,100,200,0.75,87,0.008471250534057617,one_over_p,nrm,U,nrm_U,rbf,0.8728262012387881,0.004605617507568671,0.18422470030274685,0.05
sim_par_5-p-20,100,100,200,0.75,87,0.007955312728881836,one_over_p,nrm,V,nrm_V,rbf,0.8714528494689519,0.0026954803459198306,0.10781921383679322,0.05
