sim_scenario,n_plus,n_minus,n_target,pi_target,seed,time,gamma_selection_name,estimator,type,estimator_name,kernel,pi,var_n,var,gamma
sim_par_6-p-10,50,50,100,0.25,87,0.011177301406860352,one_over_p,nrm,U,nrm_U,rbf,0.24841839737861174,0.006176835627644895,0.12353671255289789,0.1
sim_par_6-p-10,50,50,100,0.25,87,0.004524707794189453,one_over_p,nrm,V,nrm_V,rbf,0.39613216753661323,0.004598889666501769,0.09197779333003538,0.1
sim_par_6-p-10,50,50,100,0.25,87,0.004890918731689453,one_over_p,ipr,U,ipr_U,rbf,0.2777434430673508,0.006176835627644895,0.12353671255289789,0.1
sim_par_6-p-10,50,50,100,0.25,87,0.004621267318725586,one_over_p,ipr,V,ipr_V,rbf,0.30776528617710236,0.004598889666501769,0.09197779333003538,0.1
sim_par_6-p-10,50,50,100,0.25,87,0.10199260711669922,numerical,ipr,U,ipr_U,rbf,0.29490842874165,0.005380263563740866,0.10760527127481731,0.032386716770408656
sim_par_6-p-10,50,50,100,0.25,87,0.0662539005279541,grid,ipr,U,ipr_U,rbf,0.29501271968010523,0.0053803258451015105,0.1076065169020302,0.031912701018271865
sim_par_6-p-10,50,50,100,0.25,87,3.176137685775757,bootstrap_var,ipr,U,ipr_U,rbf,0.2806505931373106,0.005985817530043003,0.11971635060086004,0.089668228867278
sim_par_6-p-10,50,50,100,0.25,87,3.271599292755127,bootstrap_mse,ipr,U,ipr_U,rbf,0.2891311373013886,0.005521824047619188,0.11043648095238376,0.05737153674719052
sim_par_6-p-10,50,50,100,0.25,87,0.07389235496520996,distance,ipr,U,ipr_U,rbf,0.2806505931373106,0.005985817530043003,0.11971635060086004,0.089668228867278
sim_par_6-p-10,50,50,100,0.25,87,0.06803083419799805,distance,ipr,V,ipr_V,rbf,0.3076116642688361,0.005209595290163329,0.10419190580326658,0.007052979470243469
sim_par_6-p-10,50,50,100,0.25,87,0.0679936408996582,numerical,ipr,V,ipr_V,rbf,0.3325091490599248,0.003790888486061853,0.07581776972123706,0.2
sim_par_6-p-10,50,50,100,0.25,87,0.07202529907226562,grid,ipr,V,ipr_V,rbf,0.3068855664818889,0.0046190595236731006,0.09238119047346201,0.089668228867278
sim_par_6-p-10,50,50,100,0.25,87,2.9940149784088135,bootstrap_var,ipr,V,ipr_V,rbf,0.3068855664818889,0.0046190595236731006,0.09238119047346201,0.089668228867278
sim_par_6-p-10,50,50,100,0.25,87,3.010809898376465,bootstrap_mse,ipr,V,ipr_V,rbf,0.3068855664818889,0.0046190595236731006,0.09238119047346201,0.089668228867278
sim_par_6-p-10,100,100,200,0.25,87,0.008013725280761719,one_over_p,nrm,U,nrm_U,rbf,0.10639075485770157,0.0048434059737240045,0.19373623894896017,0.1
sim_par_6-p-10,100,100,200,0.25,87,0.007960081100463867,one_over_p,nrm,V,nrm_V,rbf,0.29333268222354486,0.003921813585260159,0.15687254341040635,0.1
sim_par_6-p-10,100,100,200,0.25,87,0.007579326629638672,one_over_p,ipr,U,ipr_U,rbf,0.16774882378535894,0.0048434059737240045,0.19373623894896017,0.1
sim_par_6-p-10,100,100,200,0.25,87,0.007399797439575195,one_over_p,ipr,V,ipr_V,rbf,0.20098016693830967,0.003921813585260159,0.15687254341040635,0.1
sim_par_6-p-10,100,100,200,0.25,87,0.15784287452697754,numerical,ipr,U,ipr_U,rbf,0.18326611345923083,0.004485200362266053,0.17940801449064211,0.04079010540192098
sim_par_6-p-10,100,100,200,0.25,87,0.11738252639770508,grid,ipr,U,ipr_U,rbf,0.1854443650549646,0.004492477678507827,0.1796991071403131,0.03440201388906748
sim_par_6-p-10,100,100,200,0.25,87,5.608654260635376,bootstrap_var,ipr,U,ipr_U,rbf,0.16778256833275096,0.0048417970829836565,0.19367188331934623,0.09983547216796539
sim_par_6-p-10,100,100,200,0.25,87,5.425336122512817,bootstrap_mse,ipr,U,ipr_U,rbf,0.1854443650549646,0.004492477678507827,0.1796991071403131,0.03440201388906748
sim_par_6-p-10,100,100,200,0.25,87,0.13699579238891602,distance,ipr,U,ipr_U,rbf,0.16778256833275096,0.0048417970829836565,0.19367188331934623,0.09983547216796539
