beta,n_plus,n_minus,n_target,pi_target,p,seed,pi_nmr_u,pi_ipr_u,pi_nmr_v,pi_ipr_v,var_plug-in,var_explicit,var_plug-in_target,var_plug-in_plus,var_plug-in_minus,r_n,lambda_target,lambda_plus,lambda_minus,var_explicit_target,var_explicit_plus,var_explicit_minus
0.5,500,500,500,0.1,5,1,0.19416267782841484,0.22369595722077196,0.23599077819184835,0.22881433450124483,0.4692087764985771,0.44594761372911756,0.0012279656547948233,5.676645433811129e-05,0.0006547111917877337,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0011956535785443423,2.475928761092039e-05,0.0006228819640536898
0.5,500,500,500,0.1,5,2,0.11059401961431455,0.12872518465793004,0.17529115039618146,0.135696896779663,0.5085895208531176,0.48558041489811865,0.0012510287385600705,2.6452112976349403e-05,0.0009102367294371264,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012176317537433423,-6.087729451542678e-06,0.0008771989935885127
0.5,500,500,500,0.1,5,3,0.0,0.0,0.12215136132760634,0.0046139141741797784,0.6308545902596153,0.6012469925114539,0.00106306982861472,9.745314888165441e-06,0.0008970566326764368,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001032242092571467,-2.1056537949926124e-05,0.0008662351685495562
0.5,500,500,500,0.1,5,4,0.0,0.09617353884322338,0.13565360226795584,0.10407258161326138,0.5559129032452544,0.5308482641289466,0.0012161230845031802,1.82166566473058e-05,0.0007781790395747507,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0011856066834332601,-1.171395565280342e-05,0.0007478869161857693
0.5,500,500,500,0.1,5,5,0.13711254969029543,0.09995066652574364,0.1904453078532358,0.10742570802380325,0.5402227257386768,0.519613304153854,0.0014096577805706948,3.583157591858592e-05,0.0010545758008026094,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001376625038513879,5.131344182895958e-06,0.0010229316377934339
0.5,500,500,500,0.1,5,6,0.12397894045671908,0.10589285291027045,0.18512633841645604,0.11321855929586822,0.5747778715153447,0.5511861822137889,0.0012891051448556824,3.175814388531119e-05,0.0008615008446417155,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012586232834632671,2.466796917732772e-06,0.0008316991769858895
0.5,500,500,500,0.1,5,7,0.15428883234751567,0.08209533389538987,0.20387747335654785,0.08967539719241346,0.5661492266264679,0.5435355937933375,0.0012788248982539036,4.427353798368381e-05,0.0010516954979411248,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001246661013272088,1.3421369014610107e-05,0.0010198554334762688
0.5,500,500,500,0.1,5,8,0.0,0.0,0.11936973148381119,0.0,0.7522039079361131,0.714995651656835,0.0009802025483256977,1.0245292457971864e-05,0.0008729672162372696,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0009491634354521494,-2.0411486305271787e-05,0.000842488068280689
0.5,500,500,500,0.1,5,9,0.0641281497774319,0.07037366144421359,0.15170035817104874,0.07846954641117582,0.5439090863656333,0.5197686533526616,0.001274358902833439,2.5444361669944626e-05,0.0009260084418694166,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001240665205522018,-6.422749401546746e-06,0.0008927805744531891
0.5,500,500,500,0.1,5,10,0.0,0.0,0.06391400963109631,0.007648682844124233,0.6402030677034604,0.6117088558453451,0.0010768755277992502,2.097049444534358e-06,0.0009974804540428136,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0010463514702663268,-2.8660175105721386e-05,0.0009663427903700006
0.5,500,500,500,0.1,5,11,0.1506215603967464,0.176942981494141,0.20125422720123118,0.18279817055200637,0.4842727666073854,0.46205228058058084,0.0012960851045534603,4.313029054161708e-05,0.0007661618252037927,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012632081639717407,1.148302411591029e-05,0.0007340824064642204
0.5,500,500,500,0.1,5,12,0.07357369880208811,0.12628035354082962,0.14728315883077175,0.13234119049895715,0.45208619932953786,0.43441792475593916,0.001424012321824303,2.4629100635770385e-05,0.0009549408817142377,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013925192694113075,-6.482053624856654e-06,0.0009236091262342372
0.5,500,500,500,0.1,5,13,0.0,0.07336481432288133,0.12734935328532193,0.0807178676228264,0.5090926309986353,0.48831244674494445,0.0014094625905189586,1.5532206314099034e-05,0.0009944877680466474,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013763720916180056,-1.7436238740287102e-05,0.0009617880766664699
0.5,500,500,500,0.1,5,14,0.1141124042476992,0.11082681725475568,0.1737547225426178,0.11751446488053402,0.4770589913166726,0.4571978406941383,0.0013826787171596568,3.301642103609347e-05,0.001018358898107937,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013474266140436342,8.980117855994507e-07,0.0009843936957759647
0.5,500,500,500,0.1,5,15,0.0,0.0671918634412596,0.13030911594094488,0.07486663767882068,0.5153359306341163,0.4953675680653772,0.0013049445303577995,1.6923649658832563e-05,0.0012181434838983726,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012717602216333335,-1.557786799399885e-05,0.0011854083176399133
0.5,500,500,500,0.1,5,16,0.04189848425543387,0.11095526260937733,0.1431440369191435,0.11793203614713227,0.5372989462691924,0.5136227027428074,0.001359363170405708,2.2322026114919716e-05,0.0008486888741314104,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0013256427915215863,-9.507329276625676e-06,0.0008159564881491388
0.5,500,500,500,0.1,5,17,0.23821402435165487,0.21456248547726725,0.2758337680713182,0.22048308105321618,0.5336501242100231,0.5060689317709661,0.0011069020975369962,7.504522351628682e-05,0.0006590533676235548,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0010747944439087886,4.4145661862171615e-05,0.0006269102363187784
0.5,500,500,500,0.1,5,18,0.0,0.0,0.089066478834982,0.0,0.6906950950992735,0.6582986435827768,0.000992987262012333,5.901259120338856e-06,0.001031084265661316,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0009610210161591359,-2.5520665606904025e-05,0.0009992583317348647
0.5,500,500,500,0.1,5,19,0.0,0.08490395013344842,0.1130848785109073,0.09167818963167651,0.4711966235955495,0.45094419286624254,0.0013588746746859182,1.4668053809529289e-05,0.0009044016665556101,0.006,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001325133730596284,-1.6625168394623913e-05,0.0008715278497362089
