sim_scenario,n_plus,n_minus,n_target,pi_target,seed,time,gamma_selection_name,estimator,type,estimator_name,kernel,pi,var_n,var,gamma
sim_par_2,150,150,100,0.75,0,0.013540983200073242,one_over_p,nrm,U,nrm_U,laplacian,0.5632848746197707,0.009896328361796238,0.4241283583626959,0.2
sim_par_2,150,150,100,0.75,0,0.007600069046020508,one_over_p,nrm,V,nrm_V,laplacian,0.6687386462287673,0.007417617407894505,0.3178978889097645,0.2
sim_par_2,150,150,100,0.75,0,0.007458925247192383,one_over_p,ipr,U,ipr_U,laplacian,0.5889418700683983,0.009896328361796238,0.4241283583626959,0.2
sim_par_2,150,150,100,0.75,0,0.007538318634033203,one_over_p,ipr,V,ipr_V,laplacian,0.577560020891053,0.007417617407894505,0.3178978889097645,0.2
sim_par_2,150,150,100,0.75,0,0.11485838890075684,numerical,ipr,U,ipr_U,laplacian,0.5649308370533959,0.009616422749646315,0.4121324035562706,0.38915578505508563
sim_par_2,150,150,100,0.75,0,0.10990786552429199,grid,ipr,U,ipr_U,laplacian,0.563540601474554,0.009617301243962768,0.41217005331269,0.4005442587511837
sim_par_2,150,150,100,0.75,0,5.655670166015625,bootstrap_var,ipr,U,ipr_U,laplacian,0.563540601474554,0.009617301243962768,0.41217005331269,0.4005442587511837
sim_par_2,150,150,100,0.75,0,4.801400184631348,bootstrap_mse,ipr,U,ipr_U,laplacian,0.563540601474554,0.009617301243962768,0.41217005331269,0.4005442587511837
sim_par_2,150,150,100,0.75,0,0.11222290992736816,distance,ipr,U,ipr_U,laplacian,0.5898043372791938,0.009917541516825707,0.42503749357824455,0.1934906110515338
sim_par_2,150,150,100,0.75,0,0.10693216323852539,distance,ipr,V,ipr_V,laplacian,0.6063990215056058,0.009304745359018781,0.39877480110080493,0.015015554819373283
sim_par_2,150,150,100,0.75,0,0.05448722839355469,numerical,ipr,V,ipr_V,laplacian,0.5491926434525296,0.00562804182022994,0.24120179229556885,0.4
sim_par_2,150,150,100,0.75,0,0.10799407958984375,grid,ipr,V,ipr_V,laplacian,0.5491206752431624,0.005623199992165635,0.2409942853785272,0.4005442587511837
sim_par_2,150,150,100,0.75,0,4.845480918884277,bootstrap_var,ipr,V,ipr_V,laplacian,0.5491206752431624,0.005623199992165635,0.2409942853785272,0.4005442587511837
sim_par_2,150,150,100,0.75,0,4.922796964645386,bootstrap_mse,ipr,V,ipr_V,laplacian,0.5491206752431624,0.005623199992165635,0.2409942853785272,0.4005442587511837
sim_par_2,150,150,200,0.75,0,0.010085105895996094,one_over_p,nrm,U,nrm_U,laplacian,0.6290363990120373,0.008053609870691932,0.4392878111286508,0.2
sim_par_2,150,150,200,0.75,0,0.010162591934204102,one_over_p,nrm,V,nrm_V,laplacian,0.6861964619433706,0.005759455400346466,0.3141521127461709,0.2
sim_par_2,150,150,200,0.75,0,0.01013493537902832,one_over_p,ipr,U,ipr_U,laplacian,0.6529542978224434,0.008053609870691932,0.4392878111286508,0.2
sim_par_2,150,150,200,0.75,0,0.009413719177246094,one_over_p,ipr,V,ipr_V,laplacian,0.6292797471790316,0.005759455400346466,0.3141521127461709,0.2
sim_par_2,150,150,200,0.75,0,0.1970055103302002,numerical,ipr,U,ipr_U,laplacian,0.660001675681666,0.007879511129465423,0.4297915161526595,0.06456396496910256
sim_par_2,150,150,200,0.75,0,0.1622602939605713,grid,ipr,U,ipr_U,laplacian,0.6608262948090712,0.007881168642765632,0.4298819259690344,0.052944326536885064
sim_par_2,150,150,200,0.75,0,7.254695177078247,bootstrap_var,ipr,U,ipr_U,laplacian,0.6466548899747742,0.00875199686651659,0.4773816472645413,0.4064897689801073
sim_par_2,150,150,200,0.75,0,7.025928974151611,bootstrap_mse,ipr,U,ipr_U,laplacian,0.6621869800662455,0.007890603831305527,0.43039657261666514,0.0350747891635197
sim_par_2,150,150,200,0.75,0,0.1591320037841797,distance,ipr,U,ipr_U,laplacian,0.6529424945336353,0.008054308296216119,0.43932590706633373,0.2003011135686232
sim_par_2,150,150,200,0.75,0,0.1586894989013672,distance,ipr,V,ipr_V,laplacian,0.6493199293423275,0.00657879522279441,0.358843375788786,0.015768710440490566
sim_par_2,150,150,200,0.75,0,0.15013360977172852,numerical,ipr,V,ipr_V,laplacian,0.6079038778877539,0.004718521189504426,0.25737388306387776,0.4
sim_par_2,150,150,200,0.75,0,0.16300153732299805,grid,ipr,V,ipr_V,laplacian,0.6071599966239127,0.004679283682446193,0.25523365540615595,0.4064897689801073
sim_par_2,150,150,200,0.75,0,7.569817066192627,bootstrap_var,ipr,V,ipr_V,laplacian,0.6071599966239127,0.004679283682446193,0.25523365540615595,0.4064897689801073
