n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed
50.0,50.0,300.0,0.25,0.24,0.013955918367346937,3.4889795918367344e-05,0.0
100.0,100.0,300.0,0.25,0.23809523809523805,0.006422852244037862,1.2845704488075723e-05,0.0
150.0,150.0,300.0,0.25,0.23076923076923073,0.004139619302368471,6.8993655039474515e-06,0.0
200.0,200.0,300.0,0.25,0.2834645669291339,0.003212691276209943,4.589558966014204e-06,0.0
250.0,250.0,300.0,0.25,0.2888888888888889,0.0034056224899598393,4.2570281124497995e-06,0.0
50.0,50.0,300.0,0.25,0.14814814814814817,0.012625931290623804,3.156482822655951e-05,1.0
100.0,100.0,300.0,0.25,0.20987654320987653,0.0068390303811357136,1.3678060762271427e-05,1.0
150.0,150.0,300.0,0.25,0.24719101123595513,0.004291675719066328,7.152792865110547e-06,1.0
200.0,200.0,300.0,0.25,0.2384823848238482,0.003480075293055685,4.971536132936693e-06,1.0
250.0,250.0,300.0,0.25,0.19425287356321844,0.0037757341891789427,4.719667736473678e-06,1.0
50.0,50.0,300.0,0.25,0.28160919540229884,0.008518778680938414,2.1296946702346037e-05,2.0
100.0,100.0,300.0,0.25,0.3623188405797102,0.003313966996915528,6.627933993831057e-06,2.0
150.0,150.0,300.0,0.25,0.26732673267326734,0.0031655206794289387,5.275867799048231e-06,2.0
200.0,200.0,300.0,0.25,0.31428571428571433,0.002455961607286747,3.50851658183821e-06,2.0
250.0,250.0,300.0,0.25,0.33055555555555555,0.0021347105672346453,2.6683882090433067e-06,2.0
50.0,50.0,300.0,0.25,0.2708333333333333,0.006953979169250166,1.7384947923125416e-05,3.0
100.0,100.0,300.0,0.25,0.23809523809523808,0.004690429021854714,9.380858043709428e-06,3.0
150.0,150.0,300.0,0.25,0.2727272727272727,0.003328228643906921,5.547047739844869e-06,3.0
200.0,200.0,300.0,0.25,0.31220657276995306,0.0023665803862820277,3.3808291232600397e-06,3.0
250.0,250.0,300.0,0.25,0.24616858237547895,0.0023765101890629633,2.970637736328704e-06,3.0
50.0,50.0,300.0,0.25,0.4343434343434343,0.0052325118741347165,1.308127968533679e-05,4.0
100.0,100.0,300.0,0.25,0.4009661835748793,0.0032561437827876394,6.5122875655752785e-06,4.0
150.0,150.0,300.0,0.25,0.36082474226804134,0.003368631264531924,5.61438544088654e-06,4.0
200.0,200.0,300.0,0.25,0.30133333333333334,0.0033596596378753026,4.79951376839329e-06,4.0
250.0,250.0,300.0,0.25,0.3060796645702306,0.0029120973559910667,3.6401216949888333e-06,4.0
50.0,50.0,300.0,0.25,0.22857142857142862,0.00543382434189836,1.35845608547459e-05,5.0
100.0,100.0,300.0,0.25,0.20833333333333331,0.004437934027777781,8.875868055555563e-06,5.0
150.0,150.0,300.0,0.25,0.21052631578947373,0.0036831069013945894,6.1385115023243156e-06,5.0
200.0,200.0,300.0,0.25,0.17699115044247785,0.004538135493529407,6.48305070504201e-06,5.0
250.0,250.0,300.0,0.25,0.14840182648401828,0.003897991788836005,4.872489736045007e-06,5.0
50.0,50.0,300.0,0.25,0.2365591397849462,0.007751758843176519,1.93793971079413e-05,6.0
100.0,100.0,300.0,0.25,0.1530054644808743,0.005639624060910282,1.1279248121820565e-05,6.0
150.0,150.0,300.0,0.25,0.2329545454545455,0.004423106698304934,7.3718444971748905e-06,6.0
200.0,200.0,300.0,0.25,0.2195767195767196,0.0032409629424594126,4.6299470606563035e-06,6.0
250.0,250.0,300.0,0.25,0.22970085470085472,0.002993560449282238,3.7419505616027974e-06,6.0
50.0,50.0,300.0,0.25,0.23214285714285712,0.010075879399031583,2.518969849757896e-05,7.0
100.0,100.0,300.0,0.25,0.22222222222222224,0.004127156222520643,8.254312445041286e-06,7.0
150.0,150.0,300.0,0.25,0.2121212121212121,0.0032865221210335964,5.477536868389328e-06,7.0
200.0,200.0,300.0,0.25,0.24087591240875908,0.0026219849933920075,3.745692847702868e-06,7.0
250.0,250.0,300.0,0.25,0.1833333333333333,0.0029617184013833115,3.702148001729139e-06,7.0
50.0,50.0,300.0,0.25,0.34803921568627455,0.004984837202176254,1.2462093005440635e-05,8.0
100.0,100.0,300.0,0.25,0.2995169082125604,0.0034219318411739686,6.843863682347937e-06,8.0
150.0,150.0,300.0,0.25,0.3277777777777777,0.003967805207505403,6.613008679175672e-06,8.0
200.0,200.0,300.0,0.25,0.35820895522388063,0.002677811009538463,3.825444299340661e-06,8.0
250.0,250.0,300.0,0.25,0.28181818181818186,0.0026833109670047206,3.3541387087559007e-06,8.0
50.0,50.0,300.0,0.25,0.4166666666666667,0.007185846560846562,1.7964616402116404e-05,9.0
100.0,100.0,300.0,0.25,0.32786885245901637,0.0047744616623170135,9.548923324634028e-06,9.0
150.0,150.0,300.0,0.25,0.3229166666666667,0.003435128186926232,5.725213644877053e-06,9.0
200.0,200.0,300.0,0.25,0.30468749999999994,0.0031560971494296085,4.508710213470869e-06,9.0
250.0,250.0,300.0,0.25,0.30735930735930733,0.0031528309416876525,3.941038677109566e-06,9.0
50.0,50.0,300.0,0.25,0.24074074074074073,0.011174031202572876,2.793507800643219e-05,10.0
100.0,100.0,300.0,0.25,0.2923076923076923,0.003987882041591645,7.97576408318329e-06,10.0
150.0,150.0,300.0,0.25,0.2388888888888889,0.004214245582755125,7.023742637925208e-06,10.0
200.0,200.0,300.0,0.25,0.23140495867768593,0.0036680962410330026,5.240137487190004e-06,10.0
250.0,250.0,300.0,0.25,0.2413419913419913,0.0032217208971793035,4.0271511214741294e-06,10.0
50.0,50.0,300.0,0.25,0.29687499999999994,0.005888200617160927,1.4720501542902317e-05,11.0
100.0,100.0,300.0,0.25,0.27683615819209034,0.005027695772116663,1.0055391544233325e-05,11.0
150.0,150.0,300.0,0.25,0.23157894736842105,0.0038814043046041177,6.469007174340197e-06,11.0
200.0,200.0,300.0,0.25,0.29198966408268734,0.00303616601560095,4.337380022287071e-06,11.0
250.0,250.0,300.0,0.25,0.31168831168831174,0.0030890251192398025,3.861281399049753e-06,11.0
50.0,50.0,300.0,0.25,0.12254901960784316,0.006003152527492214,1.5007881318730536e-05,12.0
100.0,100.0,300.0,0.25,0.25252525252525254,0.0037565659602596863,7.5131319205193725e-06,12.0
