n_plus,n_minus,n_target,pi_target,pi,var_n,var,seed
150,150,100.0,0.25,0.25462962962962965,0.005278138289694922,1.3195345724237304e-05,0.0
150,150,200.0,0.25,0.2402912621359223,0.0033636550203522742,6.727310040704548e-06,0.0
150,150,300.0,0.25,0.21844660194174753,0.002605683126191891,4.342805210319818e-06,0.0
150,150,400.0,0.25,0.234375,0.002336824917868073,3.3383213112401044e-06,0.0
150,150,500.0,0.25,0.25961538461538464,0.002083667384232829,2.6045842302910365e-06,0.0
150,150,1000.0,0.25,0.2423076923076923,0.0016402032662223725,1.2616948201710557e-06,0.0
150,150,1500.0,0.25,0.22788461538461538,0.0015113921893361883,8.396623274089935e-07,0.0
150,150,100.0,0.25,0.25757575757575757,0.006635759713591391,1.6589399283978476e-05,1.0
150,150,200.0,0.25,0.24166666666666667,0.004830416511309968,9.660833022619936e-06,1.0
150,150,300.0,0.25,0.20555555555555555,0.003838037534178474,6.39672922363079e-06,1.0
150,150,400.0,0.25,0.20416666666666664,0.0033484706103964704,4.783529443423529e-06,1.0
150,150,500.0,0.25,0.22666666666666666,0.0030164947551578427,3.7706184439473035e-06,1.0
150,150,1000.0,0.25,0.24833333333333332,0.002368074900571713,1.8215960773628561e-06,1.0
150,150,1500.0,0.25,0.2655555555555555,0.002126952252326898,1.1816401401816102e-06,1.0
150,150,100.0,0.25,0.1363636363636364,0.0062819509339636015,1.5704877334909004e-05,2.0
150,150,200.0,0.25,0.38034188034188043,0.0024953070692538197,4.990614138507639e-06,2.0
150,150,300.0,0.25,0.35897435897435903,0.001826097082141328,3.0434951369022136e-06,2.0
150,150,400.0,0.25,0.34829059829059833,0.0014994853315560474,2.142121902222925e-06,2.0
150,150,500.0,0.25,0.3367521367521368,0.001304746218272539,1.6309327728406739e-06,2.0
150,150,1000.0,0.25,0.3188034188034189,0.0009280981247163072,7.139216343971594e-07,2.0
150,150,1500.0,0.25,0.3230769230769231,0.0008035349296892242,4.464082942717912e-07,2.0
150,150,100.0,0.25,0.18000000000000005,0.00599129879194631,1.4978246979865775e-05,3.0
150,150,200.0,0.25,0.172680412371134,0.004092683738799279,8.18536747759856e-06,3.0
150,150,300.0,0.25,0.18556701030927836,0.003266971824965002,5.444953041608337e-06,3.0
150,150,400.0,0.25,0.1997422680412371,0.00283441839053582,4.049169129336886e-06,3.0
150,150,500.0,0.25,0.15425531914893617,0.003020341962122898,3.7754274526536227e-06,3.0
150,150,1000.0,0.25,0.17819148936170215,0.0024225494454932733,1.863499573456364e-06,3.0
150,150,1500.0,0.25,0.1680851063829788,0.0022732022865155875,1.2628901591753263e-06,3.0
150,150,100.0,0.25,0.37499999999999994,0.005509951891208881,1.3774879728022203e-05,4.0
